"","Y1PCSIST","Y1CERTST","pct","n","unweighted_n"
"1","Agriculteur exploitant, artisan, commerçant, chef d'entreprise","1",15.5391066447874,489.026581498726,364
"2","Agriculteur exploitant, artisan, commerçant, chef d'entreprise","2",58.2664975235668,489.026581498726,364
"3","Agriculteur exploitant, artisan, commerçant, chef d'entreprise","3",26.1943958316457,489.026581498726,364
"4","Cadre supérieur","1",10.9219149864763,1105.6248633721,1555
"5","Cadre supérieur","2",48.7081022333631,1105.6248633721,1555
"6","Cadre supérieur","3",40.3699827801606,1105.6248633721,1555
"7","Profession intermédiaire","1",16.4177659881409,1658.43481134067,1610
"8","Profession intermédiaire","2",52.7136742700705,1658.43481134067,1610
"9","Profession intermédiaire","3",30.8685597417886,1658.43481134067,1610
"10","Employé","1",17.9250869878847,1817.90092356543,1776
"11","Employé","2",53.5656477662883,1817.90092356543,1776
"12","Employé","3",28.509265245827,1817.90092356543,1776
"13","Ouvrier","1",21.3417381983665,1307.61189746112,926
"14","Ouvrier","2",49.6634973383625,1307.61189746112,926
"15","Ouvrier","3",28.9947644632711,1307.61189746112,926
"16","Retraité, inactif","1",11.0967978847189,4252.40092276193,4400
"17","Retraité, inactif","2",43.8485915869842,4252.40092276193,4400
"18","Retraité, inactif","3",45.0546105282969,4252.40092276193,4400
