"","Y1PROXST","Y1CERTST","pct","n","unweighted_n"
"1","Lutte Ouvrière","1",16.3490379081372,70.4543361015838,62
"2","Lutte Ouvrière","2",31.5850742259453,70.4543361015838,62
"3","Lutte Ouvrière","3",52.0658878659175,70.4543361015838,62
"4","Nouveau Parti Anticapitaliste","1",11.127764698373,104.939147420078,87
"5","Nouveau Parti Anticapitaliste","2",36.5497725963459,104.939147420078,87
"6","Nouveau Parti Anticapitaliste","3",52.3224627052811,104.939147420078,87
"7","Parti Communiste Français","1",4.55284288275038,240.446285408072,258
"8","Parti Communiste Français","2",16.9962460533584,240.446285408072,258
"9","Parti Communiste Français","3",78.4509110638913,240.446285408072,258
"10","France Insoumise","1",13.0441905315473,767.972429749784,650
"11","France Insoumise","2",21.422898104579,767.972429749784,650
"12","France Insoumise","3",65.5329113638737,767.972429749784,650
"13","Parti Socialiste","1",8.65377696056608,827.988305454097,889
"14","Parti Socialiste","2",16.7519581967209,827.988305454097,889
"15","Parti Socialiste","3",74.594264842713,827.988305454097,889
"16","Europe Ecologie - Les Verts","1",7.73153469150131,604.168842413961,630
"17","Europe Ecologie - Les Verts","2",14.4952233216077,604.168842413961,630
"18","Europe Ecologie - Les Verts","3",77.773241986891,604.168842413961,630
"19","La République En Marche !, désormais Renaissance","1",5.03406419444119,1281.78103149795,1259
"20","La République En Marche !, désormais Renaissance","2",15.3841550868361,1281.78103149795,1259
"21","La République En Marche !, désormais Renaissance","3",79.5817807187228,1281.78103149795,1259
"22","Le MoDem (Mouvement Démocrate)","1",5.39713134803884,201.259802163159,233
"23","Le MoDem (Mouvement Démocrate)","2",9.46459877936577,201.259802163159,233
"24","Le MoDem (Mouvement Démocrate)","3",85.1382698725954,201.259802163159,233
"25","Horizons","1",1.17055216908065,70.6892450928567,85
"26","Horizons","2",8.2639198442898,70.6892450928567,85
"27","Horizons","3",90.5655279866295,70.6892450928567,85
"28","L’UDI (Union des Démocrates et Indépendants)","1",1.16862474961118,73.9809481583113,100
"29","L’UDI (Union des Démocrates et Indépendants)","2",9.02915861947517,73.9809481583113,100
"30","L’UDI (Union des Démocrates et Indépendants)","3",89.8022166309137,73.9809481583113,100
"31","Les Républicains","1",6.66626134331886,680.876275357783,861
"32","Les Républicains","2",15.7771715172383,680.876275357783,861
"33","Les Républicains","3",77.5565671394428,680.876275357783,861
"34","Debout la France","1",8.3597794932008,154.411754777518,162
"35","Debout la France","2",18.4544096482171,154.411754777518,162
"36","Debout la France","3",73.1858108585821,154.411754777518,162
"37","Rassemblement national (ex Front National)","1",13.4504761612068,1788.99386284886,1636
"38","Rassemblement national (ex Front National)","2",18.2075962066771,1788.99386284886,1636
"39","Rassemblement national (ex Front National)","3",68.3419276321161,1788.99386284886,1636
"40","Reconquête!","1",7.94701379137604,362.187537369516,349
"41","Reconquête!","2",12.5503379413065,362.187537369516,349
"42","Reconquête!","3",79.5026482673175,362.187537369516,349
"43","Autre parti","1",19.5389511519023,145.259660600814,147
"44","Autre parti","2",18.486088270148,145.259660600814,147
"45","Autre parti","3",61.9749605779497,145.259660600814,147
"46","Aucun parti","1",26.4401528083654,3252.54495254112,3220
"47","Aucun parti","2",27.9542701312531,3252.54495254112,3220
"48","Aucun parti","3",45.6055770603815,3252.54495254112,3220
