"","Y4REL1ST","Y4CERTST","pct","n","unweighted_n"
"1","Catholique","1",7.71897421916751,5255.24969313205,5458
"2","Catholique","2",43.9628052512081,5255.24969313205,5458
"3","Catholique","3",48.3182205296244,5255.24969313205,5458
"4","Protestante","1",6.25288978869118,187.340537437975,179
"5","Protestante","2",55.5595368472119,187.340537437975,179
"6","Protestante","3",38.1875733640969,187.340537437975,179
"7","Juive","1",11.4083523159426,67.2416791224602,66
"8","Juive","2",47.1026578112071,67.2416791224602,66
"9","Juive","3",41.4889898728503,67.2416791224602,66
"10","Musulmane","1",21.5709883411524,280.684345841676,240
"11","Musulmane","2",56.497836042841,280.684345841676,240
"12","Musulmane","3",21.9311756160066,280.684345841676,240
"13","Bouddhiste","1",14.946893015946,61.1848603394598,59
"14","Bouddhiste","2",50.9432384272679,61.1848603394598,59
"15","Bouddhiste","3",34.1098685567861,61.1848603394598,59
"16","Autre religion","1",13.3079897488949,176.36319442134,158
"17","Autre religion","2",45.8519288169026,176.36319442134,158
"18","Autre religion","3",40.8400814342025,176.36319442134,158
"19","Sans religion","1",11.8346686926074,4527.02566452684,4412
"20","Sans religion","2",44.6940743094691,4527.02566452684,4412
"21","Sans religion","3",43.4712569979236,4527.02566452684,4412
