"","Y3REL1ST","Y3CERTST","pct","n","unweighted_n"
"1","Catholique","1",8.50146231280212,5736.9938620289,6062
"2","Catholique","2",43.5057755090581,5736.9938620289,6062
"3","Catholique","3",47.9927621781398,5736.9938620289,6062
"4","Protestante","1",8.79785186501743,235.485273317115,228
"5","Protestante","2",48.0976236156478,235.485273317115,228
"6","Protestante","3",43.1045245193347,235.485273317115,228
"7","Juive","1",9.83515324847467,88.7089169308346,85
"8","Juive","2",61.7420313925997,88.7089169308346,85
"9","Juive","3",28.4228153589256,88.7089169308346,85
"10","Musulmane","1",19.9563695055083,352.219277414767,269
"11","Musulmane","2",57.1564612442315,352.219277414767,269
"12","Musulmane","3",22.8871692502602,352.219277414767,269
"13","Bouddhiste","1",15.4061268683406,69.1332205960719,64
"14","Bouddhiste","2",63.7575525678848,69.1332205960719,64
"15","Bouddhiste","3",20.8363205637746,69.1332205960719,64
"16","Autre religion","1",20.2687332965573,206.021980111769,180
"17","Autre religion","2",45.4591606808146,206.021980111769,180
"18","Autre religion","3",34.2721060226281,206.021980111769,180
"19","Sans religion","1",13.051770078553,5012.33530100609,4831
"20","Sans religion","2",44.3403156012316,5012.33530100609,4831
"21","Sans religion","3",42.6079143202154,5012.33530100609,4831
