"","AGERST","CERTST1","pct","n","unweighted_n","VAGUE","TAILLEECH"
"1","18 à 24 ans","1",36.6835614119869,1177.79598617918,534,"2023-06-16",10600
"2","25 à 34 ans","1",34.3218085580628,1544.53058870427,1146,"2023-06-16",10600
"3","35 à 49 ans","1",34.8439748233504,2385.3587090775,2375,"2023-06-16",10600
"4","50 à 59 ans","1",33.5887496547368,1758.19248422752,2284,"2023-06-16",10600
"5","60 ans et plus","1",19.4849057522577,3765.12223181151,4292,"2023-06-16",10600
"6","18 à 24 ans","1",38.9774527936048,1295.26189956962,610,"2023-11-29",11691
"7","25 à 34 ans","1",33.9167275701315,1713.77348630683,1216,"2023-11-29",11691
"8","35 à 49 ans","1",35.0789460239991,2626.77820974119,2571,"2023-11-29",11691
"9","50 à 59 ans","1",33.1601020074535,1925.38530814723,2404,"2023-11-29",11691
"10","60 ans et plus","1",19.588222741734,4129.80109623506,4890,"2023-11-29",11691
"11","18 à 24 ans","1",28.3358474338367,1304.03207237465,708,"2024-03-01",11770
"12","25 à 34 ans","1",28.3139203011272,1725.37330816716,1290,"2024-03-01",11770
"13","35 à 49 ans","1",26.2863747057557,2644.5578703398,2447,"2024-03-01",11770
"14","50 à 59 ans","1",22.1741286156449,1938.4163199214,2327,"2024-03-01",11770
"15","60 ans et plus","1",12.7011573675707,4157.62042919693,4998,"2024-03-01",11770
"16","18 à 24 ans","1",29.1035259493054,1180.04252862445,815,"2024-04-19",10651
"17","25 à 34 ans","1",29.6826546285629,1561.3233103499,1323,"2024-04-19",10651
"18","35 à 49 ans","1",24.2691511857812,2393.11315901977,2331,"2024-04-19",10651
"19","50 à 59 ans","1",21.0527556159696,1754.11547280275,1990,"2024-04-19",10651
"20","60 ans et plus","1",12.3297832607956,3762.4055292031,4192,"2024-04-19",10651
"21","18 à 24 ans","1",24.7229933089898,1266.34440433085,770,"2024-05-27",11430
"22","25 à 34 ans","1",26.6979234081547,1675.51299333899,1424,"2024-05-27",11430
"23","35 à 49 ans","1",22.0683039313669,2568.13589663487,2429,"2024-05-27",11430
"24","50 à 59 ans","1",19.7812980321912,1882.40414080337,2076,"2024-05-27",11430
"25","60 ans et plus","1",11.3362882962373,4037.6025648919,4731,"2024-05-27",11430
