"","AGGLO5ST","CERTST1","pct","n","unweighted_n","VAGUE"
"1","Zone rurale (moins de 2 000 habitants)","1",31.10160812713,2487.65492776238,2166,"2023-06-16"
"2","Zone urbaine de 2 000 à 9 999 habitants","1",30.7928643523458,1360.7676906557,1355,"2023-06-16"
"3","Zone urbaine de 10 000 à 49 999 habitants","1",28.4844881735111,1243.82688120717,1209,"2023-06-16"
"4","Zone urbaine de 50 000 à 199 999 habitants","1",29.253818552886,1318.24367497855,1449,"2023-06-16"
"5","Zone urbaine de 200 000 habitants et plus","1",28.0737172825177,4220.5068253962,4452,"2023-06-16"
"6","Zone rurale (moins de 2 000 habitants)","1",31.7165752323075,2595.40974293003,2410,"2023-11-29"
"7","Zone urbaine de 2 000 à 9 999 habitants","1",30.4356897278081,1601.66665490875,1485,"2023-11-29"
"8","Zone urbaine de 10 000 à 49 999 habitants","1",29.1391745436652,1342.12861201752,1359,"2023-11-29"
"9","Zone urbaine de 50 000 à 199 999 habitants","1",29.2644825741097,1407.59396051128,1601,"2023-11-29"
"10","Zone urbaine de 200 000 habitants et plus","1",28.2726804006756,4744.20102963237,4836,"2023-11-29"
"11","Zone rurale (moins de 2 000 habitants)","1",24.2733203851246,2614.12221865885,2413,"2024-03-01"
"12","Zone urbaine de 2 000 à 9 999 habitants","1",20.0405073612745,1616.02045476744,1445,"2024-03-01"
"13","Zone urbaine de 10 000 à 49 999 habitants","1",22.0750410793607,1351.19566721348,1352,"2024-03-01"
"14","Zone urbaine de 50 000 à 199 999 habitants","1",20.764622556062,1417.10709339775,1613,"2024-03-01"
"15","Zone urbaine de 200 000 habitants et plus","1",20.1224503192168,4771.55456596241,4947,"2024-03-01"
"16","Zone rurale (moins de 2 000 habitants)","1",22.1546561748248,2365.59476093683,2154,"2024-04-19"
"17","Zone urbaine de 2 000 à 9 999 habitants","1",20.0148886201765,1462.38303391222,1277,"2024-04-19"
"18","Zone urbaine de 10 000 à 49 999 habitants","1",22.525772536114,1222.73431758249,1207,"2024-04-19"
"19","Zone urbaine de 50 000 à 199 999 habitants","1",20.2615160856282,1282.3803436116,1463,"2024-04-19"
"20","Zone urbaine de 200 000 habitants et plus","1",20.1210134789523,4317.90754395685,4550,"2024-04-19"
"21","Zone rurale (moins de 2 000 habitants)","1",20.5186027549014,2538.60960505162,2274,"2024-05-27"
"22","Zone urbaine de 2 000 à 9 999 habitants","1",18.7068358534008,1569.34206118568,1398,"2024-05-27"
"23","Zone urbaine de 10 000 à 49 999 habitants","1",18.6898750254371,1312.16413662468,1304,"2024-05-27"
"24","Zone urbaine de 50 000 à 199 999 habitants","1",18.0145575790155,1376.17035894715,1561,"2024-05-27"
"25","Zone urbaine de 200 000 habitants et plus","1",18.3354738834962,4633.71383819084,4893,"2024-05-27"
