"","ECO2ST2","CERTST1","pct","n","unweighted_n","VAGUE"
"1","Moins de 1 250 euros","1",38.3916975388019,948.957328555891,792,"2023-06-16"
"2","De 1 250 euros à 1 999 euros","1",33.2700669256444,2007.05855493499,1794,"2023-06-16"
"3","De 2 000 à 3 499 euros","1",27.1076327465078,3883.29943637295,3860,"2023-06-16"
"4","De 3 500 à 4 999 euros","1",23.2115282027831,2811.21038424385,3198,"2023-06-16"
"5","Moins de 1 250 euros","1",40.8975831246288,1048.91619461349,864,"2023-11-29"
"6","De 1 250 euros à 1 999 euros","1",32.8151978314218,2273.47347837077,2026,"2023-11-29"
"7","De 2 000 à 3 499 euros","1",26.8456905208868,4264.33595509457,4259,"2023-11-29"
"8","De 3 500 à 4 999 euros","1",22.7988592257197,3032.90297653134,3485,"2023-11-29"
"9","Moins de 1 250 euros","1",33.8552769810466,1048.64163442172,893,"2024-03-01"
"10","De 1 250 euros à 1 999 euros","1",23.9548908143437,2266.99182380537,2043,"2024-03-01"
"11","De 2 000 à 3 499 euros","1",19.0098827369519,4280.77535829338,4285,"2024-03-01"
"12","De 3 500 à 4 999 euros","1",15.9382482999044,3154.88753990125,3502,"2024-03-01"
"13","Moins de 1 250 euros","1",31.5112482927363,934.225821081022,810,"2024-04-19"
"14","De 1 250 euros à 1 999 euros","1",22.4624338238981,2049.16655689556,1895,"2024-04-19"
"15","De 2 000 à 3 499 euros","1",19.1204616339349,3865.70132027932,3850,"2024-04-19"
"16","De 3 500 à 4 999 euros","1",15.4541436225759,2882.82881823736,3166,"2024-04-19"
"17","Moins de 1 250 euros","1",27.8768490375837,1016.38603591193,848,"2024-05-27"
"18","De 1 250 euros à 1 999 euros","1",19.2799348967087,2181.85876361097,1963,"2024-05-27"
"19","De 2 000 à 3 499 euros","1",18.4054856719752,4073.95326814573,4086,"2024-05-27"
"20","De 3 500 à 4 999 euros","1",14.9232959438914,3171.14309916904,3551,"2024-05-27"
