"","EDUR4ST","CERTST1","pct","n","unweighted_n","VAGUE"
"1","Aucun diplôme, CEP","1",31.6498435196728,83.3333021605973,64,"2023-06-16"
"2","BEPC, CAP, BEP","1",29.4693559195524,2387.23580671646,2189,"2023-06-16"
"3","Baccalauréat ","1",33.5363681907101,2570.79946473318,2409,"2023-06-16"
"4","Diplôme de l'enseignement supérieur","1",27.2911889434963,5589.63142638975,5969,"2023-06-16"
"5","Aucun diplôme, CEP","1",26.8545593567694,92.7294844544287,76,"2023-11-29"
"6","BEPC, CAP, BEP","1",32.4472427473133,2611.45221930879,2449,"2023-11-29"
"7","Baccalauréat ","1",33.9778489621114,2858.56365842357,2675,"2023-11-29"
"8","Diplôme de l'enseignement supérieur","1",26.2954426293138,6128.25463781316,6491,"2023-11-29"
"9","Aucun diplôme, CEP","1",20.1037044034406,86.4385219125074,72,"2024-03-01"
"10","BEPC, CAP, BEP","1",22.3924764143205,2616.69156314277,2474,"2024-03-01"
"11","Baccalauréat ","1",23.6279645418754,2820.35478260972,2651,"2024-03-01"
"12","Diplôme de l'enseignement supérieur","1",19.8729812383889,6246.51513233494,6573,"2024-03-01"
"13","Aucun diplôme, CEP","1",18.7629227256882,83.1402204489367,69,"2024-04-19"
"14","BEPC, CAP, BEP","1",22.5732529683306,2374.86857196725,2217,"2024-04-19"
"15","Baccalauréat ","1",22.7754631042672,2583.84123903332,2455,"2024-04-19"
"16","Diplôme de l'enseignement supérieur","1",19.2664504086856,5609.14996855047,5910,"2024-04-19"
"17","Aucun diplôme, CEP","1",22.2739003059429,98.6802277043867,81,"2024-05-27"
"18","BEPC, CAP, BEP","1",19.4386621760208,2436.31865234079,2240,"2024-05-27"
"19","Baccalauréat ","1",19.7383257118349,2789.56937864278,2625,"2024-05-27"
"20","Diplôme de l'enseignement supérieur","1",18.1976600932144,6105.43174131202,6484,"2024-05-27"
