"","INTPOLST","CERTST1","pct","n","unweighted_n","VAGUE","TAILLEECH"
"1","Beaucoup","1",10.3713349183644,2516.99866220332,2702,"2023-06-16",10600
"2","Un peu","1",24.2423127466062,4708.14143086966,4741,"2023-06-16",10600
"3","Pas vraiment","1",43.8958099207632,2345.64248844077,2222,"2023-06-16",10600
"4","Pas du tout","1",64.6527790000772,1060.21741848624,966,"2023-06-16",10600
"5","Beaucoup","1",7.50644580511005,2775.34340323899,3150,"2023-11-29",11691
"6","Un peu","1",23.3447662261714,5007.15501587386,5056,"2023-11-29",11691
"7","Pas vraiment","1",45.64011082055,2570.54318838472,2341,"2023-11-29",11691
"8","Pas du tout","1",67.6059452801382,1337.95839250236,1144,"2023-11-29",11691
"9","Beaucoup","1",4.83286098081053,3115.73151692729,3281,"2024-03-01",11770
"10","Un peu","1",16.3712308923572,5254.63279782294,5299,"2024-03-01",11770
"11","Pas vraiment","1",38.1086172198695,2444.8765044632,2300,"2024-03-01",11770
"12","Pas du tout","1",59.54851616741,954.759180786512,890,"2024-03-01",11770
"13","Beaucoup","1",5.88436571314078,2684.87565363244,2863,"2024-04-19",10651
"14","Un peu","1",15.5530407142189,4775.08864635491,4771,"2024-04-19",10651
"15","Pas vraiment","1",35.0169574577312,2282.71903671416,2172,"2024-04-19",10651
"16","Pas du tout","1",57.3426002417715,908.316663298466,845,"2024-04-19",10651
"17","Beaucoup","1",4.10313406748865,2931.39218874357,3216,"2024-05-27",11430
"18","Un peu","1",13.6009783629731,5060.43521261768,5060,"2024-05-27",11430
"19","Pas vraiment","1",32.6768370129837,2359.07326203331,2186,"2024-05-27",11430
"20","Pas du tout","1",53.5455355203418,1079.09933660541,968,"2024-05-27",11430
