,PCSIST,CERTST1,pct,n,unweighted_n,VAGUE
1,"Agriculteur exploitant, artisan,<br>commerçant, chef d'entreprise",1,33.163947735543,489.026581498726,364,2023-06-16
2,Cadre supérieur,1,20.8491025011843,1105.6248633721,1555,2023-06-16
3,Profession intermédiaire,1,33.6480448590774,1658.43481134067,1610,2023-06-16
4,Employé,1,34.7781842545502,1817.90092356543,1776,2023-06-16
5,Ouvrier,1,40.4027799858449,1307.61189746112,926,2023-06-16
6,"Retraité, inactif",1,23.6628385070938,4252.40092276193,4400,2023-06-16
7,"Agriculteur exploitant, artisan,<br>commerçant, chef d'entreprise",1,32.6875382116437,534.359918678615,381,2023-11-29
8,Cadre supérieur,1,22.1638290876671,1231.26559397464,1635,2023-11-29
9,Profession intermédiaire,1,30.5672155229396,1831.10589064928,1746,2023-11-29
10,Employé,1,37.1060650076966,1977.28034438055,1912,2023-11-29
11,Ouvrier,1,41.0664275098945,1413.67131094067,1081,2023-11-29
12,"Retraité, inactif",1,24.0991294353968,4703.31694137618,4936,2023-11-29
13,"Agriculteur exploitant, artisan,<br>commerçant, chef d'entreprise",1,25.4298377031687,542.620398848469,377,2024-03-01
14,Cadre supérieur,1,15.4292595539073,1267.69898127177,1657,2024-03-01
15,Profession intermédiaire,1,22.7203250238616,1856.22499988337,1672,2024-03-01
16,Employé,1,27.8219159850856,1963.34546811216,1872,2024-03-01
17,Ouvrier,1,29.7122883478717,1401.87993406682,1153,2024-03-01
18,"Retraité, inactif",1,16.735895405012,4738.23021781734,5039,2024-03-01
19,"Agriculteur exploitant, artisan,<br>commerçant, chef d'entreprise",1,26.1563573554658,491.036476984955,326,2024-04-19
20,Cadre supérieur,1,16.6715159402512,1147.18276360461,1496,2024-04-19
21,Profession intermédiaire,1,21.8807902347813,1679.76112921358,1507,2024-04-19
22,Employé,1,27.7150779589888,1776.70160350491,1815,2024-04-19
23,Ouvrier,1,27.8929284052667,1268.60741062395,1165,2024-04-19
24,"Retraité, inactif",1,16.0306881456298,4287.71061606797,4342,2024-04-19
25,"Agriculteur exploitant, artisan,<br>commerçant, chef d'entreprise",1,23.5647840660644,526.950492848615,357,2024-05-27
26,Cadre supérieur,1,14.451833925116,1231.0908921936,1665,2024-05-27
27,Profession intermédiaire,1,20.2808212073734,1802.62066417578,1632,2024-05-27
28,Employé,1,23.8870570917693,1906.65136624547,1875,2024-05-27
29,Ouvrier,1,26.2945167192118,1361.3941314569,1097,2024-05-27
30,"Retraité, inactif",1,14.6944920667308,4601.29245307962,4804,2024-05-27
