"","PROXST","CERTST1","pct","n","unweighted_n","VAGUE"
"1","Gauche et écologistes","1",22.3404025026046,2615.96934654758,2576,"2023-06-16"
"2","Centre","1",13.1237835335534,1627.71102691228,1677,"2023-06-16"
"3","Droite","1",15.559603739444,680.876275357783,861,"2023-06-16"
"4","Très à droite","1",24.7707301245448,2305.59315499589,2147,"2023-06-16"
"5","Autre parti ou aucun parti","1",48.3376311862481,3397.80461314194,3367,"2023-06-16"
"6","Gauche et écologistes","1",21.9070861824257,2745.65189730198,2680,"2023-11-29"
"7","Centre","1",13.7863022244277,1662.5632428471,1862,"2023-11-29"
"8","Droite","1",16.0086986381845,728.562222989551,919,"2023-11-29"
"9","Très à droite","1",23.584238013978,2611.60887547712,2496,"2023-11-29"
"10","Autre parti ou aucun parti","1",48.012656378743,3940.03768623169,3732,"2023-11-29"
"11","Gauche et écologistes","1",16.1596095698424,2945.79605493675,2823,"2024-03-01"
"12","Centre","1",10.8933749961707,1694.53093751708,1808,"2024-03-01"
"13","Droite","1",8.83866671169645,738.684741974472,921,"2024-03-01"
"14","Très à droite","1",12.7678277638063,2745.77959849467,2626,"2024-03-01"
"15","Autre parti ou aucun parti","1",39.3661960749263,3644.22701308416,3591,"2024-03-01"
"16","Gauche et écologistes","1",15.8492896300377,2652.8991551687,2588,"2024-04-19"
"17","Centre","1",10.4675497171564,1479.51047360454,1537,"2024-04-19"
"18","Droite","1",11.7739474750939,670.931687405908,800,"2024-04-19"
"19","Très à droite","1",12.4409375945668,2561.09694641128,2479,"2024-04-19"
"20","Autre parti ou aucun parti","1",37.9976017703397,3281.80775724541,3243,"2024-04-19"
"21","Gauche et écologistes","1",13.4241386041079,2912.16726097842,2875,"2024-05-27"
"22","Centre","1",12.0065349826679,1528.3257982987,1632,"2024-05-27"
"23","Droite","1",10.9281995281111,755.573095069594,916,"2024-05-27"
"24","Très à droite","1",9.86232419822434,2775.1423269787,2682,"2024-05-27"
"25","Autre parti ou aucun parti","1",35.4834741545083,3456.62681789051,3323,"2024-05-27"
