"","REL1ST","CERTST1","pct","n","unweighted_n","VAGUE","TAILLEECH"
"1","Catholique","1",25.7753046801433,5368.5190191672,5594,"2023-06-16",10600
"2","Juive","1",26.7376928823566,83.4242248815375,74,"2023-06-16",10600
"3","Musulmane","1",37.7397697932032,362.443564527574,251,"2023-06-16",10600
"4","Autre religion (protestante, boudhiste ou autre)","1",30.5994195179746,432.737962603485,411,"2023-06-16",10600
"5","Catholique","1",25.3868565581238,5804.44528880348,6112,"2023-11-29",11691
"6","Juive","1",32.0078403444099,89.7614162537408,85,"2023-11-29",11691
"7","Musulmane","1",39.2910601444992,401.017858510672,284,"2023-11-29",11691
"8","Autre religion (protestante, boudhiste ou autre)","1",32.6190504725607,485.695662217726,450,"2023-11-29",11691
"9","Catholique","1",17.064676063858,5736.9938620289,6062,"2024-03-01",11770
"10","Juive","1",21.7718244554966,88.7089169308346,85,"2024-03-01",11770
"11","Musulmane","1",32.6878133307132,352.219277414767,269,"2024-03-01",11770
"12","Autre religion (protestante, boudhiste ou autre)","1",26.8319977684799,510.640474024956,472,"2024-03-01",11770
"13","Catholique","1",17.1387295768628,5255.24969313205,5458,"2024-04-19",10651
"14","Juive","1",23.2849509063292,67.2416791224602,66,"2024-04-19",10651
"15","Musulmane","1",39.6903129055196,280.684345841676,240,"2024-04-19",10651
"16","Autre religion (protestante, boudhiste ou autre)","1",23.794735067792,424.888592198775,396,"2024-04-19",10651
"17","Catholique","1",15.5202037843704,5588.96355912989,5851,"2024-05-27",11430
"18","Juive","1",13.5152547849957,82.1604305564248,83,"2024-05-27",11430
"19","Musulmane","1",25.8000286429772,313.412419767753,254,"2024-05-27",11430
"20","Autre religion (protestante, boudhiste ou autre)","1",22.4283244323456,448.898485247532,416,"2024-05-27",11430
