"","AGGLO5ST","CERTST3","pct","n","unweighted_n","VAGUE","TAILLEECH"
"1","Zone rurale (moins de 2 000 habitants)","3",44.8927605874404,2487.65492776238,2166,"2023-06-16",10600
"2","Zone urbaine de 2 000 à 9 999 habitants","3",45.5924074317928,1360.7676906557,1355,"2023-06-16",10600
"3","Zone urbaine de 10 000 à 49 999 habitants","3",47.2813087761228,1243.82688120717,1209,"2023-06-16",10600
"4","Zone urbaine de 50 000 à 199 999 habitants","3",46.157117304989,1318.24367497855,1449,"2023-06-16",10600
"5","Zone urbaine de 200 000 habitants et plus","3",47.3649158516117,4220.5068253962,4452,"2023-06-16",10600
"6","Zone rurale (moins de 2 000 habitants)","3",42.2908674165595,2595.40974293003,2410,"2023-11-29",11691
"7","Zone urbaine de 2 000 à 9 999 habitants","3",43.8701608304333,1601.66665490875,1485,"2023-11-29",11691
"8","Zone urbaine de 10 000 à 49 999 habitants","3",45.2704462926058,1342.12861201752,1359,"2023-11-29",11691
"9","Zone urbaine de 50 000 à 199 999 habitants","3",43.051488292906,1407.59396051128,1601,"2023-11-29",11691
"10","Zone urbaine de 200 000 habitants et plus","3",43.4222350312025,4744.20102963237,4836,"2023-11-29",11691
"11","Zone rurale (moins de 2 000 habitants)","3",55.7671065665516,2614.12221865885,2413,"2024-03-01",11770
"12","Zone urbaine de 2 000 à 9 999 habitants","3",57.2982076811327,1616.02045476744,1445,"2024-03-01",11770
"13","Zone urbaine de 10 000 à 49 999 habitants","3",56.4949445400937,1351.19566721348,1352,"2024-03-01",11770
"14","Zone urbaine de 50 000 à 199 999 habitants","3",58.5699493079126,1417.10709339775,1613,"2024-03-01",11770
"15","Zone urbaine de 200 000 habitants et plus","3",55.6271666582335,4771.55456596241,4947,"2024-03-01",11770
"16","Zone rurale (moins de 2 000 habitants)","3",56.7757609074995,2365.59476093683,2154,"2024-04-19",10651
"17","Zone urbaine de 2 000 à 9 999 habitants","3",59.7495406288977,1462.38303391222,1277,"2024-04-19",10651
"18","Zone urbaine de 10 000 à 49 999 habitants","3",56.5301761359817,1222.73431758249,1207,"2024-04-19",10651
"19","Zone urbaine de 50 000 à 199 999 habitants","3",59.1748649277167,1282.3803436116,1463,"2024-04-19",10651
"20","Zone urbaine de 200 000 habitants et plus","3",57.3106451587507,4317.90754395685,4550,"2024-04-19",10651
"21","Zone rurale (moins de 2 000 habitants)","3",60.9735107470198,2538.60960505162,2274,"2024-05-27",11430
"22","Zone urbaine de 2 000 à 9 999 habitants","3",62.5065303835162,1569.34206118568,1398,"2024-05-27",11430
"23","Zone urbaine de 10 000 à 49 999 habitants","3",62.5151825287048,1312.16413662468,1304,"2024-05-27",11430
"24","Zone urbaine de 50 000 à 199 999 habitants","3",62.4573242092749,1376.17035894715,1561,"2024-05-27",11430
"25","Zone urbaine de 200 000 habitants et plus","3",59.8159064197003,4633.71383819084,4893,"2024-05-27",11430
