"","ECO2ST2","CERTST3","pct","n","unweighted_n","VAGUE","TAILLEECH"
"1","Moins de 1 250 euros","3",38.4433907848165,948.957328555891,792,"2023-06-16",10600
"2","De 1 250 euros à 1 999 euros","3",42.4215999919327,2007.05855493499,1794,"2023-06-16",10600
"3","De 2 000 à 3 499 euros","3",47.9538448016201,3883.29943637295,3860,"2023-06-16",10600
"4","De 3 500 à 4 999 euros","3",52.3636758873158,2811.21038424385,3198,"2023-06-16",10600
"5","Moins de 1 250 euros","3",33.2583863880925,1048.91619461349,864,"2023-11-29",11691
"6","De 1 250 euros à 1 999 euros","3",38.4957475661381,2273.47347837077,2026,"2023-11-29",11691
"7","De 2 000 à 3 499 euros","3",45.7109548871605,4264.33595509457,4259,"2023-11-29",11691
"8","De 3 500 à 4 999 euros","3",49.8453695946598,3032.90297653134,3485,"2023-11-29",11691
"9","Moins de 1 250 euros","3",42.2132847340744,1048.64163442172,893,"2024-03-01",11770
"10","De 1 250 euros à 1 999 euros","3",51.5086662021976,2266.99182380537,2043,"2024-03-01",11770
"11","De 2 000 à 3 499 euros","3",59.0712289493995,4280.77535829338,4285,"2024-03-01",11770
"12","De 3 500 à 4 999 euros","3",62.9818363867458,3154.88753990125,3502,"2024-03-01",11770
"13","Moins de 1 250 euros","3",47.0861663801307,934.225821081022,810,"2024-04-19",10651
"14","De 1 250 euros à 1 999 euros","3",53.845083185882,2049.16655689556,1895,"2024-04-19",10651
"15","De 2 000 à 3 499 euros","3",59.4486362830501,3865.70132027932,3850,"2024-04-19",10651
"16","De 3 500 à 4 999 euros","3",63.5559155335986,2882.82881823736,3166,"2024-04-19",10651
"17","Moins de 1 250 euros","3",49.4440060132143,1016.38603591193,848,"2024-05-27",11430
"18","De 1 250 euros à 1 999 euros","3",58.089093483954,2181.85876361097,1963,"2024-05-27",11430
"19","De 2 000 à 3 499 euros","3",62.5811929622252,4073.95326814573,4086,"2024-05-27",11430
"20","De 3 500 à 4 999 euros","3",66.1561398007334,3171.14309916904,3551,"2024-05-27",11430
