"","EDUST","CERTST3","pct","n","unweighted_n","VAGUE"
"1","Aucun diplôme, CAP, BEP","3",49.5133265671167,2470.56910887706,2253,"2023-06-16"
"2","Baccalauréat","3",43.3839610990927,2570.79946473318,2409,"2023-06-16"
"3","Bac +2","3",44.6816952217848,2314.62737622095,2418,"2023-06-16"
"4","Bac +3/+4","3",45.0799325310823,1907.8881143629,1958,"2023-06-16"
"5","Bac +5 et plus","3",51.1967640298728,1367.1159358059,1593,"2023-06-16"
"6","Aucun diplôme, CAP, BEP","3",45.1069549652023,2704.18170376321,2525,"2023-11-29"
"7","Baccalauréat","3",40.2272480470645,2858.56365842357,2675,"2023-11-29"
"8","Bac +2","3",41.4310671277094,2517.88882708638,2614,"2023-11-29"
"9","Bac +3/+4","3",44.6781943609863,2069.88619759127,2135,"2023-11-29"
"10","Bac +5 et plus","3",47.7915710292991,1540.47961313551,1742,"2023-11-29"
"11","Aucun diplôme, CAP, BEP","3",57.2270405979594,2703.13008505528,2546,"2024-03-01"
"12","Baccalauréat","3",55.7717153910054,2820.35478260972,2651,"2024-03-01"
"13","Bac +2","3",54.498647920976,2539.70069860879,2639,"2024-03-01"
"14","Bac +3/+4","3",56.0516785811689,2113.43153116715,2156,"2024-03-01"
"15","Bac +5 et plus","3",59.1703258217478,1593.382902559,1778,"2024-03-01"
"16","Aucun diplôme, CAP, BEP","3",58.2543559983426,2458.00879241618,2286,"2024-04-19"
"17","Baccalauréat","3",55.6169157914741,2583.84123903332,2455,"2024-04-19"
"18","Bac +2","3",56.4439161092917,2316.29346074713,2399,"2024-04-19"
"19","Bac +3/+4","3",60.2318051150838,1867.44063991429,1910,"2024-04-19"
"20","Bac +5 et plus","3",58.9570396001509,1425.41586788906,1601,"2024-04-19"
"21","Aucun diplôme, CAP, BEP","3",63.3194702170718,2534.99888004517,2321,"2024-05-27"
"22","Baccalauréat","3",59.3121171985534,2789.56937864278,2625,"2024-05-27"
"23","Bac +2","3",59.5285916842985,2499.28141076775,2573,"2024-05-27"
"24","Bac +3/+4","3",61.1496564129122,2067.22234139277,2128,"2024-05-27"
"25","Bac +5 et plus","3",62.9498388087727,1538.92798915151,1783,"2024-05-27"
