"","INTPOLST","CERTST3","pct","n","unweighted_n","VAGUE"
"1","Beaucoup","3",71.9613428890819,2516.99866220332,2702,"2023-06-16"
"2","Un peu","3",46.397170857567,4708.14143086966,4741,"2023-06-16"
"3","Pas vraiment","3",30.5231526094296,2345.64248844077,2222,"2023-06-16"
"4","Pas du tout","3",20.8551220555218,1060.21741848624,966,"2023-06-16"
"5","Beaucoup","3",71.7627648526671,2775.34340323899,3150,"2023-11-29"
"6","Un peu","3",43.6654681756141,5007.15501587386,5056,"2023-11-29"
"7","Pas vraiment","3",26.3679003835089,2570.54318838472,2341,"2023-11-29"
"8","Pas du tout","3",16.2958584908032,1337.95839250236,1144,"2023-11-29"
"9","Beaucoup","3",82.1489510533451,3115.73151692729,3281,"2024-03-01"
"10","Un peu","3",55.6679942925133,5254.63279782294,5299,"2024-03-01"
"11","Pas vraiment","3",36.8800559332023,2444.8765044632,2300,"2024-03-01"
"12","Pas du tout","3",25.665799006606,954.759180786512,890,"2024-03-01"
"13","Beaucoup","3",82.8351883995048,2684.87565363244,2863,"2024-04-19"
"14","Un peu","3",58.9182503611008,4775.08864635491,4771,"2024-04-19"
"15","Pas vraiment","3",37.576774895579,2282.71903671416,2172,"2024-04-19"
"16","Pas du tout","3",27.1205260598941,908.316663298466,845,"2024-04-19"
"17","Beaucoup","3",85.6402504212225,2931.39218874357,3216,"2024-05-27"
"18","Un peu","3",62.245408363537,5060.43521261768,5060,"2024-05-27"
"19","Pas vraiment","3",41.827402056273,2359.07326203331,2186,"2024-05-27"
"20","Pas du tout","3",30.8831958246196,1079.09933660541,968,"2024-05-27"
