"","REG13ST","CERTST3","pct","n","unweighted_n","VAGUE"
"1","Ile de France","3",47.9071724062266,1808.33191083972,1827,"2023-06-16"
"2","Nord et Est (Hauts de France, Grand Est et Bourgogne Franche Comté)","3",45.3402750515802,2400.48060028937,2425,"2023-06-16"
"3","Ouest (Normandie, Bretagne, Pays de la Loire et Centre Val de Loire)","3",45.8431911721082,2208.06123025054,2268,"2023-06-16"
"4","Sud ouest (Nouvelle Aquitaine et Occitanie)","3",46.8794673014947,2015.6373757517,1965,"2023-06-16"
"5","Sud est (Auvergne Rhône Alpes, Provence Alpes Côte d'Azur et Corse)","3",46.4370392943135,2198.48888286865,2146,"2023-06-16"
"6","Ile de France","3",42.3371373466777,1982.99307954579,1973,"2023-11-29"
"7","Nord et Est (Hauts de France, Grand Est et Bourgogne Franche Comté)","3",42.1840307266098,2624.89378821275,2698,"2023-11-29"
"8","Ouest (Normandie, Bretagne, Pays de la Loire et Centre Val de Loire)","3",42.8426401566404,2428.46985710069,2515,"2023-11-29"
"9","Sud ouest (Nouvelle Aquitaine et Occitanie)","3",44.7006278058619,2228.52308733871,2220,"2023-11-29"
"10","Sud est (Auvergne Rhône Alpes, Provence Alpes Côte d'Azur et Corse)","3",44.9474020474117,2426.12018780198,2285,"2023-11-29"
"11","Ile de France","3",54.4950100425451,1989.12977512681,2005,"2024-03-01"
"12","Nord et Est (Hauts de France, Grand Est et Bourgogne Franche Comté)","3",56.4034738370006,2635.3055252244,2694,"2024-03-01"
"13","Ouest (Normandie, Bretagne, Pays de la Loire et Centre Val de Loire)","3",55.8614139071492,2449.34038712966,2547,"2024-03-01"
"14","Sud ouest (Nouvelle Aquitaine et Occitanie)","3",57.4294023881853,2250.42057258476,2192,"2024-03-01"
"15","Sud est (Auvergne Rhône Alpes, Provence Alpes Côte d'Azur et Corse)","3",57.2567710863315,2445.80373993432,2332,"2024-03-01"
"16","Ile de France","3",56.4599583025327,1800.01923040938,1844,"2024-04-19"
"17","Nord et Est (Hauts de France, Grand Est et Bourgogne Franche Comté)","3",56.5917331844774,2384.75945730457,2457,"2024-04-19"
"18","Ouest (Normandie, Bretagne, Pays de la Loire et Centre Val de Loire)","3",56.3228673018013,2216.47905851578,2281,"2024-04-19"
"19","Sud ouest (Nouvelle Aquitaine et Occitanie)","3",60.0135300455311,2036.46558503647,1968,"2024-04-19"
"20","Sud est (Auvergne Rhône Alpes, Provence Alpes Côte d'Azur et Corse)","3",58.9680765446883,2213.27666873378,2101,"2024-04-19"
"21","Ile de France","3",58.2213510148217,1931.66807248001,2017,"2024-05-27"
"22","Nord et Est (Hauts de France, Grand Est et Bourgogne Franche Comté)","3",60.0996764900652,2559.18108991142,2571,"2024-05-27"
"23","Ouest (Normandie, Bretagne, Pays de la Loire et Centre Val de Loire)","3",59.2003411640984,2378.58691516785,2467,"2024-05-27"
"24","Sud ouest (Nouvelle Aquitaine et Occitanie)","3",63.9146590378199,2185.41236319919,2170,"2024-05-27"
"25","Sud est (Auvergne Rhône Alpes, Provence Alpes Côte d'Azur et Corse)","3",63.6888350935989,2375.15155924152,2205,"2024-05-27"
