,REL1ST,CERTST3,pct,n,unweighted_n,VAGUE
1,Catholique,3,49.9145672466417,5368.5190191672,5594,2023-06-16
2,Juive,3,34.812801162085,83.4242248815375,74,2023-06-16
3,Musulmane,3,29.6358470758766,362.443564527574,251,2023-06-16
4,"Autre religion<br>(protestante, boudhiste ou autre)",3,39.4354351442326,432.737962603485,411,2023-06-16
5,Catholique,3,47.4368450965,5804.44528880348,6112,2023-11-29
6,Juive,3,30.582503802971,89.7614162537408,85,2023-11-29
7,Musulmane,3,25.3930849203331,401.017858510672,284,2023-11-29
8,"Autre religion<br>(protestante, boudhiste ou autre)",3,38.266218245644,485.695662217726,450,2023-11-29
9,Catholique,3,61.1468629449306,5736.9938620289,6062,2024-03-01
10,Juive,3,42.8126564570165,88.7089169308346,85,2024-03-01
11,Musulmane,3,34.5538678557318,352.219277414767,269,2024-03-01
12,"Autre religion<br>(protestante, boudhiste ou autre)",3,45.4624720697013,510.640474024956,472,2024-03-01
13,Catholique,3,62.393862120969,5255.24969313205,5458,2024-04-19
14,Juive,3,51.5750236238764,67.2416791224602,66,2024-04-19
15,Musulmane,3,30.2954512276286,280.684345841676,240,2024-04-19
16,"Autre religion<br>(protestante, boudhiste ou autre)",3,50.0895692339759,424.888592198775,396,2024-04-19
17,Catholique,3,65.5272128353841,5588.96355912989,5851,2024-05-27
18,Juive,3,68.0669091371356,82.1604305564248,83,2024-05-27
19,Musulmane,3,41.1136495233063,313.412419767753,254,2024-05-27
20,"Autre religion<br>(protestante, boudhiste ou autre)",3,53.1472852513394,448.898485247532,416,2024-05-27
