"","Y6AGGLO5ST","Y6ENJEURST_0","pct","n","unweighted_n","VAGUE","TAILLEECH"
"1","Zone rurale (moins de 2 000 habitants)","Le chômage",19.3506006047868,2625.23210557763,2333,"2024-06-21",11820
"2","Zone rurale (moins de 2 000 habitants)","Système scolaire et éducation",20.7820393996432,2625.23210557763,2333,"2024-06-21",11820
"3","Zone rurale (moins de 2 000 habitants)","La sécurité des biens et des personnes",15.7413898507553,2625.23210557763,2333,"2024-06-21",11820
"4","Zone rurale (moins de 2 000 habitants)","Le montant des déficits publics",7.98593922263475,2625.23210557763,2333,"2024-06-21",11820
"5","Zone rurale (moins de 2 000 habitants)","Autres réponses",36.1400309221801,2625.23210557763,2333,"2024-06-21",11820
"6","Zone urbaine de 2 000 à 9 999 habitants","Le chômage",19.6704956200962,1622.88833630774,1412,"2024-06-21",11820
"7","Zone urbaine de 2 000 à 9 999 habitants","Système scolaire et éducation",20.8715769501362,1622.88833630774,1412,"2024-06-21",11820
"8","Zone urbaine de 2 000 à 9 999 habitants","La sécurité des biens et des personnes",15.7840149744162,1622.88833630774,1412,"2024-06-21",11820
"9","Zone urbaine de 2 000 à 9 999 habitants","Le montant des déficits publics",8.79864099501437,1622.88833630774,1412,"2024-06-21",11820
"10","Zone urbaine de 2 000 à 9 999 habitants","Autres réponses",34.8752714603369,1622.88833630774,1412,"2024-06-21",11820
"11","Zone urbaine de 10 000 à 49 999 habitants","Le chômage",19.0695742658129,1356.93574819146,1378,"2024-06-21",11820
"12","Zone urbaine de 10 000 à 49 999 habitants","Système scolaire et éducation",20.9813104543518,1356.93574819146,1378,"2024-06-21",11820
"13","Zone urbaine de 10 000 à 49 999 habitants","La sécurité des biens et des personnes",16.1005649938601,1356.93574819146,1378,"2024-06-21",11820
"14","Zone urbaine de 10 000 à 49 999 habitants","Le montant des déficits publics",8.77857521093882,1356.93574819146,1378,"2024-06-21",11820
"15","Zone urbaine de 10 000 à 49 999 habitants","Autres réponses",35.0699750750364,1356.93574819146,1378,"2024-06-21",11820
"16","Zone urbaine de 50 000 à 199 999 habitants","Le chômage",19.3642583301808,1423.12649101117,1609,"2024-06-21",11820
"17","Zone urbaine de 50 000 à 199 999 habitants","Système scolaire et éducation",17.2732705995214,1423.12649101117,1609,"2024-06-21",11820
"18","Zone urbaine de 50 000 à 199 999 habitants","La sécurité des biens et des personnes",16.9164833494941,1423.12649101117,1609,"2024-06-21",11820
"19","Zone urbaine de 50 000 à 199 999 habitants","Le montant des déficits publics",8.37447864767804,1423.12649101117,1609,"2024-06-21",11820
"20","Zone urbaine de 50 000 à 199 999 habitants","Autres réponses",38.0715090731256,1423.12649101117,1609,"2024-06-21",11820
"21","Zone urbaine de 200 000 habitants et plus","Le chômage",21.6017528803268,4791.81731891199,5088,"2024-06-21",11820
"22","Zone urbaine de 200 000 habitants et plus","Système scolaire et éducation",17.6538237385049,4791.81731891199,5088,"2024-06-21",11820
"23","Zone urbaine de 200 000 habitants et plus","La sécurité des biens et des personnes",15.5378612845386,4791.81731891199,5088,"2024-06-21",11820
"24","Zone urbaine de 200 000 habitants et plus","Le montant des déficits publics",9.14283134270836,4791.81731891199,5088,"2024-06-21",11820
"25","Zone urbaine de 200 000 habitants et plus","Autres réponses",36.0637307539214,4791.81731891199,5088,"2024-06-21",11820
