"","Y6ECO2ST2","Y6ENJEURST_0","pct","n","unweighted_n","VAGUE","TAILLEECH"
"1","Moins de 1 250 euros","Le chômage",29.7099774685703,1039.10844237875,893,"2024-06-21",11820
"2","Moins de 1 250 euros","Système scolaire et éducation",18.7716512852288,1039.10844237875,893,"2024-06-21",11820
"3","Moins de 1 250 euros","La sécurité des biens et des personnes",12.9819126905269,1039.10844237875,893,"2024-06-21",11820
"4","Moins de 1 250 euros","Le montant des déficits publics",5.7455050433056,1039.10844237875,893,"2024-06-21",11820
"5","Moins de 1 250 euros","Autres réponses",32.7909535123683,1039.10844237875,893,"2024-06-21",11820
"6","De 1 250 euros à 1 999 euros","Le chômage",23.6260636710334,2240.02133665003,2035,"2024-06-21",11820
"7","De 1 250 euros à 1 999 euros","Système scolaire et éducation",20.3740538435475,2240.02133665003,2035,"2024-06-21",11820
"8","De 1 250 euros à 1 999 euros","La sécurité des biens et des personnes",16.1982116058942,2240.02133665003,2035,"2024-06-21",11820
"9","De 1 250 euros à 1 999 euros","Le montant des déficits publics",7.01912988252894,2240.02133665003,2035,"2024-06-21",11820
"10","De 1 250 euros à 1 999 euros","Autres réponses",32.782540996996,2240.02133665003,2035,"2024-06-21",11820
"11","De 2 000 à 3 499 euros","Le chômage",18.341815843393,4284.0319842128,4246,"2024-06-21",11820
"12","De 2 000 à 3 499 euros","Système scolaire et éducation",20.9410505561672,4284.0319842128,4246,"2024-06-21",11820
"13","De 2 000 à 3 499 euros","La sécurité des biens et des personnes",15.6764188219657,4284.0319842128,4246,"2024-06-21",11820
"14","De 2 000 à 3 499 euros","Le montant des déficits publics",9.20989161505753,4284.0319842128,4246,"2024-06-21",11820
"15","De 2 000 à 3 499 euros","Autres réponses",35.8308231634166,4284.0319842128,4246,"2024-06-21",11820
"16","De 3 500 à 4 999 euros","Le chômage",17.3933033291626,2244.45445444211,2428,"2024-06-21",11820
"17","De 3 500 à 4 999 euros","Système scolaire et éducation",17.2420469349461,2244.45445444211,2428,"2024-06-21",11820
"18","De 3 500 à 4 999 euros","La sécurité des biens et des personnes",16.2556245352505,2244.45445444211,2428,"2024-06-21",11820
"19","De 3 500 à 4 999 euros","Le montant des déficits publics",9.43324021867512,2244.45445444211,2428,"2024-06-21",11820
"20","De 3 500 à 4 999 euros","Autres réponses",39.6757849819657,2244.45445444211,2428,"2024-06-21",11820
"21","5 000 euros et plus","Le chômage",16.932031682694,1021.07367820359,1228,"2024-06-21",11820
"22","5 000 euros et plus","Système scolaire et éducation",12.4734659647149,1021.07367820359,1228,"2024-06-21",11820
"23","5 000 euros et plus","La sécurité des biens et des personnes",16.4912887855354,1021.07367820359,1228,"2024-06-21",11820
"24","5 000 euros et plus","Le montant des déficits publics",12.9563603771056,1021.07367820359,1228,"2024-06-21",11820
"25","5 000 euros et plus","Autres réponses",41.1468531899501,1021.07367820359,1228,"2024-06-21",11820
