"","Y6EMPST","Y6ENJEURST_0","pct","n","unweighted_n","VAGUE","TAILLEECH"
"1","Salarié (salarié à plein temps ou à temps partiel)","Le chômage",23.5106004469926,6186.06371841363,6067,"2024-06-21",11820
"2","Salarié (salarié à plein temps ou à temps partiel)","Le système scolaire et l’éducation",20.6800116779781,6186.06371841363,6067,"2024-06-21",11820
"3","Salarié (salarié à plein temps ou à temps partiel)","La sécurité des biens et des personnes",13.9309041866377,6186.06371841363,6067,"2024-06-21",11820
"4","Salarié (salarié à plein temps ou à temps partiel)","Le montant des déficits publics",7.08371283332111,6186.06371841363,6067,"2024-06-21",11820
"5","Salarié (salarié à plein temps ou à temps partiel)","Autres réponses",34.7947708550704,6186.06371841363,6067,"2024-06-21",11820
"6","Indépendant (travaille à mon compte)","Le chômage",20.0595982551109,455.88422950434,417,"2024-06-21",11820
"7","Indépendant (travaille à mon compte)","Le système scolaire et l’éducation",13.6722952842904,455.88422950434,417,"2024-06-21",11820
"8","Indépendant (travaille à mon compte)","La sécurité des biens et des personnes",16.0761455217393,455.88422950434,417,"2024-06-21",11820
"9","Indépendant (travaille à mon compte)","Le montant des déficits publics",8.53751760990691,455.88422950434,417,"2024-06-21",11820
"10","Indépendant (travaille à mon compte)","Autres réponses",41.6544433289525,455.88422950434,417,"2024-06-21",11820
"11","Sans emploi (ne travaille pas actuellement tout en recherchant un emploi ou non, personne au foyer, retraité, étudiant ou élève)","Le chômage",16.4319589124867,5178.05205208201,5336,"2024-06-21",11820
"12","Sans emploi (ne travaille pas actuellement tout en recherchant un emploi ou non, personne au foyer, retraité, étudiant ou élève)","Le système scolaire et l’éducation",17.7509416073808,5178.05205208201,5336,"2024-06-21",11820
"13","Sans emploi (ne travaille pas actuellement tout en recherchant un emploi ou non, personne au foyer, retraité, étudiant ou élève)","La sécurité des biens et des personnes",18.1169469349998,5178.05205208201,5336,"2024-06-21",11820
"14","Sans emploi (ne travaille pas actuellement tout en recherchant un emploi ou non, personne au foyer, retraité, étudiant ou élève)","Le montant des déficits publics",10.6550531454787,5178.05205208201,5336,"2024-06-21",11820
"15","Sans emploi (ne travaille pas actuellement tout en recherchant un emploi ou non, personne au foyer, retraité, étudiant ou élève)","Autres réponses",37.0450993996539,5178.05205208201,5336,"2024-06-21",11820
