"","Y6PCSIST","Y6ENJEURST_0","pct","n","unweighted_n","VAGUE","TAILLEECH"
"1","Agriculteur exploitant, artisan, commerçant, chef d entreprise","Le chômage",29.1886613146637,544.93763737358,390,"2024-06-21",11820
"2","Agriculteur exploitant, artisan, commerçant, chef d entreprise","Système scolaire et éducation",12.5685637732286,544.93763737358,390,"2024-06-21",11820
"3","Agriculteur exploitant, artisan, commerçant, chef d entreprise","La sécurité des biens et des personnes",14.8112689206875,544.93763737358,390,"2024-06-21",11820
"4","Agriculteur exploitant, artisan, commerçant, chef d entreprise","Le montant des déficits publics",5.8196833522601,544.93763737358,390,"2024-06-21",11820
"5","Agriculteur exploitant, artisan, commerçant, chef d entreprise","Autres réponses",37.6118226391602,544.93763737358,390,"2024-06-21",11820
"6","Cadre supérieur","Le chômage",17.7404387323366,1273.11782365227,1737,"2024-06-21",11820
"7","Cadre supérieur","Système scolaire et éducation",14.2553476055651,1273.11782365227,1737,"2024-06-21",11820
"8","Cadre supérieur","La sécurité des biens et des personnes",12.5112793307814,1273.11782365227,1737,"2024-06-21",11820
"9","Cadre supérieur","Le montant des déficits publics",10.2454236576173,1273.11782365227,1737,"2024-06-21",11820
"10","Cadre supérieur","Autres réponses",45.2475106736995,1273.11782365227,1737,"2024-06-21",11820
"11","Profession intermédiaire","Le chômage",20.8257946611555,1864.15838524503,1677,"2024-06-21",11820
"12","Profession intermédiaire","Système scolaire et éducation",18.2829722321732,1864.15838524503,1677,"2024-06-21",11820
"13","Profession intermédiaire","La sécurité des biens et des personnes",12.7982478436017,1864.15838524503,1677,"2024-06-21",11820
"14","Profession intermédiaire","Le montant des déficits publics",8.33390163002948,1864.15838524503,1677,"2024-06-21",11820
"15","Profession intermédiaire","Autres réponses",39.75908363304,1864.15838524503,1677,"2024-06-21",11820
"16","Employé","Le chômage",26.6321927669542,1971.74299454236,1955,"2024-06-21",11820
"17","Employé","Système scolaire et éducation",23.5748294230873,1971.74299454236,1955,"2024-06-21",11820
"18","Employé","La sécurité des biens et des personnes",15.0043058682977,1971.74299454236,1955,"2024-06-21",11820
"19","Employé","Le montant des déficits publics",5.70610150095835,1971.74299454236,1955,"2024-06-21",11820
"20","Employé","Autres réponses",29.0825704407025,1971.74299454236,1955,"2024-06-21",11820
"21","Ouvrier","Le chômage",26.1866327450024,1407.87044417758,1105,"2024-06-21",11820
"22","Ouvrier","Système scolaire et éducation",25.8321438393278,1407.87044417758,1105,"2024-06-21",11820
"23","Ouvrier","La sécurité des biens et des personnes",15.7433994347168,1407.87044417758,1105,"2024-06-21",11820
"24","Ouvrier","Le montant des déficits publics",4.57128989063026,1407.87044417758,1105,"2024-06-21",11820
"25","Ouvrier","Autres réponses",27.6665340903228,1407.87044417758,1105,"2024-06-21",11820
"26","Retraité, inactif","Le chômage",15.3367680057276,4758.17271500916,4956,"2024-06-21",11820
"27","Retraité, inactif","Système scolaire et éducation",17.684133227362,4758.17271500916,4956,"2024-06-21",11820
"28","Retraité, inactif","La sécurité des biens et des personnes",18.4335475608196,4758.17271500916,4956,"2024-06-21",11820
"29","Retraité, inactif","Le montant des déficits publics",11.232753292716,4758.17271500916,4956,"2024-06-21",11820
"30","Retraité, inactif","Autres réponses",37.3127979133748,4758.17271500916,4956,"2024-06-21",11820
