"","Y6PROXST","Y6ENJEURST_0","pct","n","unweighted_n","VAGUE","TAILLEECH"
"1","Très à gauche (Lutte Ouvrière, Nouveau Parti Anticapitaliste, Parti Communiste Français, France Insoumise)","Le chômage",21.3795267952451,1292.45667705023,1087,"2024-06-21",11820
"2","Très à gauche (Lutte Ouvrière, Nouveau Parti Anticapitaliste, Parti Communiste Français, France Insoumise)","Système scolaire et éducation",24.1473683837946,1292.45667705023,1087,"2024-06-21",11820
"3","Très à gauche (Lutte Ouvrière, Nouveau Parti Anticapitaliste, Parti Communiste Français, France Insoumise)","La sécurité des biens et des personnes",2.22495383391417,1292.45667705023,1087,"2024-06-21",11820
"4","Très à gauche (Lutte Ouvrière, Nouveau Parti Anticapitaliste, Parti Communiste Français, France Insoumise)","Le montant des déficits publics",3.40981998037619,1292.45667705023,1087,"2024-06-21",11820
"5","Très à gauche (Lutte Ouvrière, Nouveau Parti Anticapitaliste, Parti Communiste Français, France Insoumise)","Autres réponses",48.8383310066699,1292.45667705023,1087,"2024-06-21",11820
"6","Gauche (Parti Socialiste, Europe Ecologie - Les Verts)","Le chômage",17.0066354901777,1769.85940554004,1916,"2024-06-21",11820
"7","Gauche (Parti Socialiste, Europe Ecologie - Les Verts)","Système scolaire et éducation",18.0688983757146,1769.85940554004,1916,"2024-06-21",11820
"8","Gauche (Parti Socialiste, Europe Ecologie - Les Verts)","La sécurité des biens et des personnes",1.70527990582932,1769.85940554004,1916,"2024-06-21",11820
"9","Gauche (Parti Socialiste, Europe Ecologie - Les Verts)","Le montant des déficits publics",11.2906303841371,1769.85940554004,1916,"2024-06-21",11820
"10","Gauche (Parti Socialiste, Europe Ecologie - Les Verts)","Autres réponses",51.9285558441413,1769.85940554004,1916,"2024-06-21",11820
"11","Centre (Renaissance, Le MoDem (Mouvement Démocrate), Horizons, UDI (Union des Démocrates et Indépendants))","Le chômage",16.0322919785819,1577.02993656282,1732,"2024-06-21",11820
"12","Centre (Renaissance, Le MoDem (Mouvement Démocrate), Horizons, UDI (Union des Démocrates et Indépendants))","Système scolaire et éducation",12.8567751416846,1577.02993656282,1732,"2024-06-21",11820
"13","Centre (Renaissance, Le MoDem (Mouvement Démocrate), Horizons, UDI (Union des Démocrates et Indépendants))","La sécurité des biens et des personnes",6.26917287520584,1577.02993656282,1732,"2024-06-21",11820
"14","Centre (Renaissance, Le MoDem (Mouvement Démocrate), Horizons, UDI (Union des Démocrates et Indépendants))","Le montant des déficits publics",23.3588891096693,1577.02993656282,1732,"2024-06-21",11820
"15","Centre (Renaissance, Le MoDem (Mouvement Démocrate), Horizons, UDI (Union des Démocrates et Indépendants))","Autres réponses",41.4828708948583,1577.02993656282,1732,"2024-06-21",11820
"16","Droite (Les Républicains)","Le chômage",11.2203261758072,813.050926903808,967,"2024-06-21",11820
"17","Droite (Les Républicains)","Système scolaire et éducation",20.0153144076313,813.050926903808,967,"2024-06-21",11820
"18","Droite (Les Républicains)","La sécurité des biens et des personnes",25.5823200768059,813.050926903808,967,"2024-06-21",11820
"19","Droite (Les Républicains)","Le montant des déficits publics",10.053929793734,813.050926903808,967,"2024-06-21",11820
"20","Droite (Les Républicains)","Autres réponses",33.1281095460217,813.050926903808,967,"2024-06-21",11820
"21","Très à droite (Debout la France, Rassemblement national (ex Front National), Reconquête!)","Le chômage",12.2672011039157,2785.27589653085,2623,"2024-06-21",11820
"22","Très à droite (Debout la France, Rassemblement national (ex Front National), Reconquête!)","Système scolaire et éducation",21.5680494509212,2785.27589653085,2623,"2024-06-21",11820
"23","Très à droite (Debout la France, Rassemblement national (ex Front National), Reconquête!)","La sécurité des biens et des personnes",41.5937464650426,2785.27589653085,2623,"2024-06-21",11820
"24","Très à droite (Debout la France, Rassemblement national (ex Front National), Reconquête!)","Le montant des déficits publics",3.08979940779071,2785.27589653085,2623,"2024-06-21",11820
"25","Très à droite (Debout la France, Rassemblement national (ex Front National), Reconquête!)","Autres réponses",21.4812035723298,2785.27589653085,2623,"2024-06-21",11820
"26","Autre parti ou aucun parti","Le chômage",31.6104399260163,3576.35762694193,3490,"2024-06-21",11820
"27","Autre parti ou aucun parti","Système scolaire et éducation",18.4753328136863,3576.35762694193,3490,"2024-06-21",11820
"28","Autre parti ou aucun parti","La sécurité des biens et des personnes",9.73810949811298,3576.35762694193,3490,"2024-06-21",11820
"29","Autre parti ou aucun parti","Le montant des déficits publics",6.94666456080982,3576.35762694193,3490,"2024-06-21",11820
"30","Autre parti ou aucun parti","Autres réponses",33.2294532013746,3576.35762694193,3490,"2024-06-21",11820
