"","Y6Q7ST","Y6ENJEURST_0","pct","n","unweighted_n","VAGUE","TAILLEECH"
"1","Très à gauche","Le chômage",18.5959136723028,613.984697610352,534,"2024-06-21",11820
"2","Très à gauche","Système scolaire et éducation",23.6072422879565,613.984697610352,534,"2024-06-21",11820
"3","Très à gauche","La sécurité des biens et des personnes",1.99714676006923,613.984697610352,534,"2024-06-21",11820
"4","Très à gauche","Le montant des déficits publics",3.32554579144574,613.984697610352,534,"2024-06-21",11820
"5","Très à gauche","Autres réponses",52.4741514882257,613.984697610352,534,"2024-06-21",11820
"6","Plutôt à gauche","Le chômage",18.6533307113608,2777.92489289871,2824,"2024-06-21",11820
"7","Plutôt à gauche","Système scolaire et éducation",20.7587053791656,2777.92489289871,2824,"2024-06-21",11820
"8","Plutôt à gauche","La sécurité des biens et des personnes",2.70348104151444,2777.92489289871,2824,"2024-06-21",11820
"9","Plutôt à gauche","Le montant des déficits publics",9.82195370168134,2777.92489289871,2824,"2024-06-21",11820
"10","Plutôt à gauche","Autres réponses",48.0625291662778,2777.92489289871,2824,"2024-06-21",11820
"11","Au centre","Le chômage",22.7144766959325,2084.48994834261,2046,"2024-06-21",11820
"12","Au centre","Système scolaire et éducation",17.932259202541,2084.48994834261,2046,"2024-06-21",11820
"13","Au centre","La sécurité des biens et des personnes",10.4428926401867,2084.48994834261,2046,"2024-06-21",11820
"14","Au centre","Le montant des déficits publics",11.004967179514,2084.48994834261,2046,"2024-06-21",11820
"15","Au centre","Autres réponses",37.9054042818258,2084.48994834261,2046,"2024-06-21",11820
"16","Plutôt à droite","Le chômage",18.2312912739997,3617.43278575803,3835,"2024-06-21",11820
"17","Plutôt à droite","Système scolaire et éducation",17.3991204555284,3617.43278575803,3835,"2024-06-21",11820
"18","Plutôt à droite","La sécurité des biens et des personnes",21.8437867532053,3617.43278575803,3835,"2024-06-21",11820
"19","Plutôt à droite","Le montant des déficits publics",10.8624755053593,3617.43278575803,3835,"2024-06-21",11820
"20","Plutôt à droite","Autres réponses",31.6633260119074,3617.43278575803,3835,"2024-06-21",11820
"21","Très à droite","Le chômage",13.6330694913205,1519.48459686854,1445,"2024-06-21",11820
"22","Très à droite","Système scolaire et éducation",18.3932265727906,1519.48459686854,1445,"2024-06-21",11820
"23","Très à droite","La sécurité des biens et des personnes",42.3218795412835,1519.48459686854,1445,"2024-06-21",11820
"24","Très à droite","Le montant des déficits publics",3.69098926953816,1519.48459686854,1445,"2024-06-21",11820
"25","Très à droite","Autres réponses",21.9608351250672,1519.48459686854,1445,"2024-06-21",11820
