,Y6AGERST,Y6PARTEU24ST,pct,n,unweighted_n,VAGUE,TAILLEECH
1,18 à 24 ans,Vous n'avez pas voté,32.7147931839321,1307.03901572385,889,2024-06-21,11820
2,18 à 24 ans,Vous avez voté,67.2852068160679,1307.03901572385,889,2024-06-21,11820
3,25 à 34 ans,Vous n'avez pas voté,33.6666442139681,1732.64769637984,1554,2024-06-21,11820
4,25 à 34 ans,Vous avez voté,66.3333557860319,1732.64769637984,1554,2024-06-21,11820
5,35 à 49 ans,Vous n'avez pas voté,21.7966642663857,2655.71059505274,2477,2024-06-21,11820
6,35 à 49 ans,Vous avez voté,78.2033357336143,2655.71059505274,2477,2024-06-21,11820
7,50 à 59 ans,Vous n'avez pas voté,16.1798986034721,1946.59993260433,2050,2024-06-21,11820
8,50 à 59 ans,Vous avez voté,83.8201013965279,1946.59993260433,2050,2024-06-21,11820
9,60 ans et plus,Vous n'avez pas voté,11.7222809200011,4175.51768176541,4848,2024-06-21,11820
10,60 ans et plus,Vous avez voté,88.2777190799989,4175.51768176541,4848,2024-06-21,11820
