"","Y6AGGLO5ST","Y6PARTEU24ST","pct","n","unweighted_n","VAGUE","TAILLEECH"
"1","Zone rurale (moins de 2 000 habitants)","Vous n'avez pas voté",19.3046105589681,2623.73592908407,2332,"2024-06-21",11820
"2","Zone rurale (moins de 2 000 habitants)","Vous avez voté",80.6953894410319,2623.73592908407,2332,"2024-06-21",11820
"3","Zone urbaine de 2 000 à 9 999 habitants","Vous n'avez pas voté",19.6704956200962,1622.88833630774,1412,"2024-06-21",11820
"4","Zone urbaine de 2 000 à 9 999 habitants","Vous avez voté",80.3295043799038,1622.88833630774,1412,"2024-06-21",11820
"5","Zone urbaine de 10 000 à 49 999 habitants","Vous n'avez pas voté",19.0105511127329,1355.9468462112,1377,"2024-06-21",11820
"6","Zone urbaine de 10 000 à 49 999 habitants","Vous avez voté",80.989448887267,1355.9468462112,1377,"2024-06-21",11820
"7","Zone urbaine de 50 000 à 199 999 habitants","Vous n'avez pas voté",19.3642583301808,1423.12649101117,1609,"2024-06-21",11820
"8","Zone urbaine de 50 000 à 199 999 habitants","Vous avez voté",80.6357416698192,1423.12649101117,1609,"2024-06-21",11820
"9","Zone urbaine de 200 000 habitants et plus","Vous n'avez pas voté",21.6017528803268,4791.81731891199,5088,"2024-06-21",11820
"10","Zone urbaine de 200 000 habitants et plus","Vous avez voté",78.3982471196731,4791.81731891199,5088,"2024-06-21",11820
