"","Y6EDUST","Y6PARTEU24ST","pct","n","unweighted_n","VAGUE","TAILLEECH"
"1","Aucun diplôme","Vous n'avez pas voté",22.2797440799976,471.752704580165,411,"2024-06-21",11820
"2","Aucun diplôme","Vous avez voté",77.7202559200024,471.752704580165,411,"2024-06-21",11820
"3","CAP, BEP","Vous n'avez pas voté",18.5961914726174,2206.04253369973,2025,"2024-06-21",11820
"4","CAP, BEP","Vous avez voté",81.4038085273826,2206.04253369973,2025,"2024-06-21",11820
"5","Baccalauréat","Vous n'avez pas voté",22.5077414410459,2873.7333942085,2683,"2024-06-21",11820
"6","Baccalauréat","Vous avez voté",77.4922585589541,2873.7333942085,2683,"2024-06-21",11820
"7","Bac +2","Vous n'avez pas voté",21.0158061399913,2554.78926486246,2646,"2024-06-21",11820
"8","Bac +2","Vous avez voté",78.9841938600087,2554.78926486246,2646,"2024-06-21",11820
"9","Bac +3 et plus","Vous n'avez pas voté",18.7306775085099,3711.1970241753,4053,"2024-06-21",11820
"10","Bac +3 et plus","Vous avez voté",81.2693224914901,3711.1970241753,4053,"2024-06-21",11820
