"","Y6PCSIST","Y6PARTEU24ST","pct","n","unweighted_n","VAGUE","TAILLEECH"
"1","Agriculteur exploitant, artisan, commerçant, chef d'entreprise","Vous n'avez pas voté",29.1886613146637,544.93763737358,390,"2024-06-21",11820
"2","Agriculteur exploitant, artisan, commerçant, chef d'entreprise","Vous avez voté",70.8113386853363,544.93763737358,390,"2024-06-21",11820
"3","Cadre supérieur","Vous n'avez pas voté",17.6764934500249,1272.12892167201,1736,"2024-06-21",11820
"4","Cadre supérieur","Vous avez voté",82.3235065499751,1272.12892167201,1736,"2024-06-21",11820
"5","Profession intermédiaire","Vous n'avez pas voté",20.8257946611555,1864.15838524503,1677,"2024-06-21",11820
"6","Profession intermédiaire","Vous avez voté",79.1742053388445,1864.15838524503,1677,"2024-06-21",11820
"7","Employé","Vous n'avez pas voté",26.6321927669542,1971.74299454236,1955,"2024-06-21",11820
"8","Employé","Vous avez voté",73.3678072330459,1971.74299454236,1955,"2024-06-21",11820
"9","Ouvrier","Vous n'avez pas voté",26.1866327450024,1407.87044417758,1105,"2024-06-21",11820
"10","Ouvrier","Vous avez voté",73.8133672549976,1407.87044417758,1105,"2024-06-21",11820
"11","Retraité, inactif","Vous n'avez pas voté",15.3101378288482,4756.6765385156,4955,"2024-06-21",11820
"12","Retraité, inactif","Vous avez voté",84.6898621711518,4756.6765385156,4955,"2024-06-21",11820
