"","Y6Q7ST","Y6PARTEU24ST","pct","n","unweighted_n","VAGUE","TAILLEECH"
"1","Très à gauche","Vous n'avez pas voté",18.5959136723028,613.984697610352,534,"2024-06-21",11820
"2","Très à gauche","Vous avez voté",81.4040863276972,613.984697610352,534,"2024-06-21",11820
"3","Plutôt à gauche","Vous n'avez pas voté",18.6094941908336,2776.42871640515,2823,"2024-06-21",11820
"4","Plutôt à gauche","Vous avez voté",81.3905058091664,2776.42871640515,2823,"2024-06-21",11820
"5","Au centre","Vous n'avez pas voté",22.7144766959325,2084.48994834261,2046,"2024-06-21",11820
"6","Au centre","Vous avez voté",77.2855233040675,2084.48994834261,2046,"2024-06-21",11820
"7","Plutôt à droite","Vous n'avez pas voté",18.2089319507027,3616.44388377777,3834,"2024-06-21",11820
"8","Plutôt à droite","Vous avez voté",81.7910680492973,3616.44388377777,3834,"2024-06-21",11820
"9","Très à droite","Vous n'avez pas voté",13.6330694913205,1519.48459686854,1445,"2024-06-21",11820
"10","Très à droite","Vous avez voté",86.3669305086795,1519.48459686854,1445,"2024-06-21",11820
