"","Y6REG13ST","Y6PARTEU24ST","pct","n","unweighted_n","VAGUE","TAILLEECH"
"1","Ile de France","Vous n'avez pas voté",22.6179918802575,1996.08549207502,2080,"2024-06-21",11820
"2","Ile de France","Vous avez voté",77.3820081197425,1996.08549207502,2080,"2024-06-21",11820
"3","Nord et Est (Hauts de France, Grand Est et Bourgogne Franche Comté)","Vous n'avez pas voté",19.5342683620889,2646.49891106688,2675,"2024-06-21",11820
"4","Nord et Est (Hauts de France, Grand Est et Bourgogne Franche Comté)","Vous avez voté",80.4657316379111,2646.49891106688,2675,"2024-06-21",11820
"5","Ouest (Normandie, Bretagne, Pays de la Loire et Centre Val de Loire)","Vous n'avez pas voté",21.4110777403125,2459.74451254771,2512,"2024-06-21",11820
"6","Ouest (Normandie, Bretagne, Pays de la Loire et Centre Val de Loire)","Vous avez voté",78.5889222596875,2459.74451254771,2512,"2024-06-21",11820
"7","Sud ouest (Nouvelle Aquitaine et Occitanie)","Vous n'avez pas voté",19.4338570380516,2258.99245568665,2216,"2024-06-21",11820
"8","Sud ouest (Nouvelle Aquitaine et Occitanie)","Vous avez voté",80.5661429619484,2258.99245568665,2216,"2024-06-21",11820
"9","Sud est (Auvergne Rhône Alpes, Provence Alpes Côte d'Azur et Corse)","Vous n'avez pas voté",18.7315754575492,2456.1935501499,2335,"2024-06-21",11820
"10","Sud est (Auvergne Rhône Alpes, Provence Alpes Côte d'Azur et Corse)","Vous avez voté",81.2684245424508,2456.1935501499,2335,"2024-06-21",11820
