"","Y7AGERST","Y7PARTL24AST","pct","n","unweighted_n","VAGUE","TAILLEECH"
"1","18 à 24 ans","Vous n'avez pas voté",20.2876525674674,1237.52243561009,669,"2024-07-26",11204
"2","18 à 24 ans","Vous avez voté",79.7123474325327,1237.52243561009,669,"2024-07-26",11204
"3","25 à 34 ans","Vous n'avez pas voté",18.2844374593804,1642.39037377673,1370,"2024-07-26",11204
"4","25 à 34 ans","Vous avez voté",81.7155625406196,1642.39037377673,1370,"2024-07-26",11204
"5","35 à 49 ans","Vous n'avez pas voté",13.0719580237959,2517.36953975728,2360,"2024-07-26",11204
"6","35 à 49 ans","Vous avez voté",86.9280419762041,2517.36953975728,2360,"2024-07-26",11204
"7","50 à 59 ans","Vous n'avez pas voté",10.472763030446,1845.19217397194,1978,"2024-07-26",11204
"8","50 à 59 ans","Vous avez voté",89.527236969554,1845.19217397194,1978,"2024-07-26",11204
"9","60 ans et plus","Vous n'avez pas voté",6.39857919504648,3957.74247323746,4825,"2024-07-26",11204
"10","60 ans et plus","Vous avez voté",93.6014208049535,3957.74247323746,4825,"2024-07-26",11204
