"","Y7EDUST","Y7PARTL24AST","pct","n","unweighted_n","VAGUE","TAILLEECH"
"1","Aucun diplôme","Vous n'avez pas voté",12.2574991981975,416.435741483539,371,"2024-07-26",11204
"2","Aucun diplôme","Vous avez voté",87.7425008018025,416.435741483539,371,"2024-07-26",11204
"3","CAP, BEP","Vous n'avez pas voté",11.3163682810949,2058.72753384448,1928,"2024-07-26",11204
"4","CAP, BEP","Vous avez voté",88.683631718905,2058.72753384448,1928,"2024-07-26",11204
"5","Baccalauréat","Vous n'avez pas voté",13.4549542179893,2725.09889008387,2523,"2024-07-26",11204
"6","Baccalauréat","Vous avez voté",86.5450457820107,2725.09889008387,2523,"2024-07-26",11204
"7","Bac +2","Vous n'avez pas voté",12.9249828699389,2370.604336229,2485,"2024-07-26",11204
"8","Bac +2","Vous avez voté",87.0750171300611,2370.604336229,2485,"2024-07-26",11204
"9","Bac +3 et plus","Vous n'avez pas voté",10.190216226856,3629.35049471261,3895,"2024-07-26",11204
"10","Bac +3 et plus","Vous avez voté",89.809783773144,3629.35049471261,3895,"2024-07-26",11204
