"","Y7PCSIST","Y7PARTL24AST","pct","n","unweighted_n","VAGUE","TAILLEECH"
"1","Agriculteur exploitant, artisan, commerçant, chef d'entreprise","Vous n'avez pas voté",16.8090951338103,516.528671725919,328,"2024-07-26",11204
"2","Agriculteur exploitant, artisan, commerçant, chef d'entreprise","Vous avez voté",83.1909048661897,516.528671725919,328,"2024-07-26",11204
"3","Cadre supérieur","Vous n'avez pas voté",9.85483292330735,1206.74578798005,1686,"2024-07-26",11204
"4","Cadre supérieur","Vous avez voté",90.1451670766926,1206.74578798005,1686,"2024-07-26",11204
"5","Profession intermédiaire","Vous n'avez pas voté",11.4840594707009,1766.97208674363,1553,"2024-07-26",11204
"6","Profession intermédiaire","Vous avez voté",88.5159405292991,1766.97208674363,1553,"2024-07-26",11204
"7","Employé","Vous n'avez pas voté",15.6249828051035,1868.9437374952,1831,"2024-07-26",11204
"8","Employé","Vous avez voté",84.3750171948965,1868.9437374952,1831,"2024-07-26",11204
"9","Ouvrier","Vous n'avez pas voté",16.1830226017342,1334.46893188754,996,"2024-07-26",11204
"10","Ouvrier","Vous avez voté",83.8169773982658,1334.46893188754,996,"2024-07-26",11204
"11","Retraité, inactif","Vous n'avez pas voté",9.10387137957197,4506.55778052116,4808,"2024-07-26",11204
"12","Retraité, inactif","Vous avez voté",90.896128620428,4506.55778052116,4808,"2024-07-26",11204
