"","Y7PROXST","Y7PARTL24AST","pct","n","unweighted_n","VAGUE","TAILLEECH"
"1","Très à gauche (Lutte Ouvrière, Nouveau Parti Anticapitaliste, Parti Communiste Français, France Insoumise)","Vous n'avez pas voté",11.3875716600658,1245.1641196983,1010,"2024-07-26",11204
"2","Très à gauche (Lutte Ouvrière, Nouveau Parti Anticapitaliste, Parti Communiste Français, France Insoumise)","Vous avez voté",88.6124283399341,1245.1641196983,1010,"2024-07-26",11204
"3","Gauche (Parti Socialiste, Europe Ecologie - Les Verts)","Vous n'avez pas voté",8.4400844477728,1692.66320330451,1880,"2024-07-26",11204
"4","Gauche (Parti Socialiste, Europe Ecologie - Les Verts)","Vous avez voté",91.5599155522272,1692.66320330451,1880,"2024-07-26",11204
"5","Centre (Renaissance, Le MoDem (Mouvement Démocrate), Horizons, UDI (Union des Démocrates et Indépendants))","Vous n'avez pas voté",6.42910005100974,1529.79064715371,1667,"2024-07-26",11204
"6","Centre (Renaissance, Le MoDem (Mouvement Démocrate), Horizons, UDI (Union des Démocrates et Indépendants))","Vous avez voté",93.5708999489902,1529.79064715371,1667,"2024-07-26",11204
"7","Droite (Les Républicains)","Vous n'avez pas voté",7.34417825530511,769.550724279786,904,"2024-07-26",11204
"8","Droite (Les Républicains)","Vous avez voté",92.6558217446949,769.550724279786,904,"2024-07-26",11204
"9","Très à droite (Debout la France, Rassemblement national (ex Front National), Reconquête!)","Vous n'avez pas voté",7.83209571691802,2786.02103028976,2663,"2024-07-26",11204
"10","Très à droite (Debout la France, Rassemblement national (ex Front National), Reconquête!)","Vous avez voté",92.167904283082,2786.02103028976,2663,"2024-07-26",11204
"11","Autre parti ou aucun parti","Vous n'avez pas voté",21.0759397529181,3175.13021204268,3077,"2024-07-26",11204
"12","Autre parti ou aucun parti","Vous avez voté",78.9240602470819,3175.13021204268,3077,"2024-07-26",11204
