"","Y7Q7ST","Y7PARTL24AST","pct","n","unweighted_n","VAGUE","TAILLEECH"
"1","Très à gauche","Vous n'avez pas voté",8.01594882034899,623.055830409475,532,"2024-07-26",11204
"2","Très à gauche","Vous avez voté",91.984051179651,623.055830409475,532,"2024-07-26",11204
"3","Plutôt à gauche","Vous n'avez pas voté",9.82878204286919,2603.46392147511,2714,"2024-07-26",11204
"4","Plutôt à gauche","Vous avez voté",90.1712179571308,2603.46392147511,2714,"2024-07-26",11204
"5","Au centre","Vous n'avez pas voté",13.694887266259,1827.76855908934,1800,"2024-07-26",11204
"6","Au centre","Vous avez voté",86.305112733741,1827.76855908934,1800,"2024-07-26",11204
"7","Plutôt à droite","Vous n'avez pas voté",10.5349458208289,3567.0689348011,3748,"2024-07-26",11204
"8","Plutôt à droite","Vous avez voté",89.4650541791711,3567.0689348011,3748,"2024-07-26",11204
"9","Très à droite","Vous n'avez pas voté",8.01635625953575,1445.63781967302,1364,"2024-07-26",11204
"10","Très à droite","Vous avez voté",91.9836437404642,1445.63781967302,1364,"2024-07-26",11204
