"","Y7REG13ST","Y7PARTL24AST","pct","n","unweighted_n","VAGUE","TAILLEECH"
"1","Ile de France","Vous n'avez pas voté",12.2633937770773,1891.46306964071,1883,"2024-07-26",11204
"2","Ile de France","Vous avez voté",87.7366062229227,1891.46306964071,1883,"2024-07-26",11204
"3","Nord et Est (Hauts de France, Grand Est et Bourgogne Franche Comté)","Vous n'avez pas voté",12.3279758633399,2508.58278919435,2537,"2024-07-26",11204
"4","Nord et Est (Hauts de France, Grand Est et Bourgogne Franche Comté)","Vous avez voté",87.6720241366601,2508.58278919435,2537,"2024-07-26",11204
"5","Ouest (Normandie, Bretagne, Pays de la Loire et Centre Val de Loire)","Vous n'avez pas voté",11.6171137274303,2331.55764634939,2395,"2024-07-26",11204
"6","Ouest (Normandie, Bretagne, Pays de la Loire et Centre Val de Loire)","Vous avez voté",88.3828862725697,2331.55764634939,2395,"2024-07-26",11204
"7","Sud ouest (Nouvelle Aquitaine et Occitanie)","Vous n'avez pas voté",11.8415255792918,2142.197309247,2150,"2024-07-26",11204
"8","Sud ouest (Nouvelle Aquitaine et Occitanie)","Vous avez voté",88.1584744207082,2142.197309247,2150,"2024-07-26",11204
"9","Sud est (Auvergne Rhône Alpes, Provence Alpes Côte d'Azur et Corse)","Vous n'avez pas voté",11.2264470963465,2326.41618192204,2237,"2024-07-26",11204
"10","Sud est (Auvergne Rhône Alpes, Provence Alpes Côte d'Azur et Corse)","Vous avez voté",88.7735529036535,2326.41618192204,2237,"2024-07-26",11204
