"","Y7REL1ST","Y7PARTL24AST","pct","n","unweighted_n","VAGUE","TAILLEECH"
"1","Catholique","Vous n'avez pas voté",9.73115771037078,5433.52628385584,5712,"2024-07-26",11204
"2","Catholique","Vous avez voté",90.2688422896292,5433.52628385584,5712,"2024-07-26",11204
"3","Juive","Vous n'avez pas voté",13.8412690885018,73.6740140695289,76,"2024-07-26",11204
"4","Juive","Vous avez voté",86.1587309114982,73.6740140695289,76,"2024-07-26",11204
"5","Musulmane","Vous n'avez pas voté",22.4342472872575,296.520696316981,225,"2024-07-26",11204
"6","Musulmane","Vous avez voté",77.5657527127425,296.520696316981,225,"2024-07-26",11204
"7","Autre religion (protestante, boudhiste ou autre)","Vous n'avez pas voté",17.8021225476555,473.930893404386,431,"2024-07-26",11204
"8","Autre religion (protestante, boudhiste ou autre)","Vous avez voté",82.1978774523445,473.930893404386,431,"2024-07-26",11204
"9","Sans religion","Vous n'avez pas voté",12.6220875775194,4792.71198847587,4658,"2024-07-26",11204
"10","Sans religion","Vous avez voté",87.3779124224806,4792.71198847587,4658,"2024-07-26",11204
