"","Y7AGERST","Y7PARTL24BST","pct","n","unweighted_n","VAGUE","TAILLEECH"
"1","18 à 24 ans","Vous n'avez pas voté",18.9764491078338,1034.6474130366,559,"2024-07-26",11204
"2","18 à 24 ans","Vous avez voté",81.0235508921662,1034.6474130366,559,"2024-07-26",11204
"3","25 à 34 ans","Vous n'avez pas voté",19.1647856941365,1385.60478727658,1145,"2024-07-26",11204
"4","25 à 34 ans","Vous avez voté",80.8352143058635,1385.60478727658,1145,"2024-07-26",11204
"5","35 à 49 ans","Vous n'avez pas voté",13.7009494178818,2199.26540724128,2056,"2024-07-26",11204
"6","35 à 49 ans","Vous avez voté",86.2990505821182,2199.26540724128,2056,"2024-07-26",11204
"7","50 à 59 ans","Vous n'avez pas voté",10.9253638320099,1611.44299188789,1715,"2024-07-26",11204
"8","50 à 59 ans","Vous avez voté",89.0746361679901,1611.44299188789,1715,"2024-07-26",11204
"9","60 ans et plus","Vous n'avez pas voté",7.58522945642346,3470.72621916278,4205,"2024-07-26",11204
"10","60 ans et plus","Vous avez voté",92.4147705435765,3470.72621916278,4205,"2024-07-26",11204
