"","Y7AGGLO5ST","Y7PARTL24BST","pct","n","unweighted_n","VAGUE","TAILLEECH"
"1","Zone rurale (moins de 2 000 habitants)","Vous n'avez pas voté",10.8492421141038,2276.7956521389,2045,"2024-07-26",11204
"2","Zone rurale (moins de 2 000 habitants)","Vous avez voté",89.1507578858962,2276.7956521389,2045,"2024-07-26",11204
"3","Zone urbaine de 2 000 à 9 999 habitants","Vous n'avez pas voté",9.13610060297687,1395.38290403374,1240,"2024-07-26",11204
"4","Zone urbaine de 2 000 à 9 999 habitants","Vous avez voté",90.8638993970231,1395.38290403374,1240,"2024-07-26",11204
"5","Zone urbaine de 10 000 à 49 999 habitants","Vous n'avez pas voté",13.3390701815721,1138.015717991,1141,"2024-07-26",11204
"6","Zone urbaine de 10 000 à 49 999 habitants","Vous avez voté",86.6609298184279,1138.015717991,1141,"2024-07-26",11204
"7","Zone urbaine de 50 000 à 199 999 habitants","Vous n'avez pas voté",12.0275291579692,1234.62626147371,1423,"2024-07-26",11204
"8","Zone urbaine de 50 000 à 199 999 habitants","Vous avez voté",87.9724708420308,1234.62626147371,1423,"2024-07-26",11204
"9","Zone urbaine de 200 000 habitants et plus","Vous n'avez pas voté",14.4312610250917,3656.86628296778,3831,"2024-07-26",11204
"10","Zone urbaine de 200 000 habitants et plus","Vous avez voté",85.5687389749083,3656.86628296778,3831,"2024-07-26",11204
