"","Y7ECO2ST2","Y7PARTL24BST","pct","n","unweighted_n","VAGUE","TAILLEECH"
"1","Moins de 1 250 euros","Vous n'avez pas voté",19.7345686736783,826.988390189704,683,"2024-07-26",11204
"2","Moins de 1 250 euros","Vous avez voté",80.2654313263217,826.988390189704,683,"2024-07-26",11204
"3","De 1 250 euros à 1 999 euros","Vous n'avez pas voté",14.4158265877011,1833.61604455416,1655,"2024-07-26",11204
"4","De 1 250 euros à 1 999 euros","Vous avez voté",85.5841734122989,1833.61604455416,1655,"2024-07-26",11204
"5","De 2 000 à 3 499 euros","Vous n'avez pas voté",11.2576132191395,3555.3929856546,3530,"2024-07-26",11204
"6","De 2 000 à 3 499 euros","Vous avez voté",88.7423867808605,3555.3929856546,3530,"2024-07-26",11204
"7","De 3 500 à 4 999 euros","Vous n'avez pas voté",9.89650432436531,1913.84422526997,2079,"2024-07-26",11204
"8","De 3 500 à 4 999 euros","Vous avez voté",90.1034956756347,1913.84422526997,2079,"2024-07-26",11204
"9","5 000 euros et plus","Vous n'avez pas voté",11.1410415540957,780.854752061553,944,"2024-07-26",11204
"10","5 000 euros et plus","Vous avez voté",88.8589584459043,780.854752061553,944,"2024-07-26",11204
