"","Y7EDUST","Y7PARTL24BST","pct","n","unweighted_n","VAGUE","TAILLEECH"
"1","Aucun diplôme","Vous n'avez pas voté",16.039424853702,370.985312535633,327,"2024-07-26",11204
"2","Aucun diplôme","Vous avez voté",83.960575146298,370.985312535633,327,"2024-07-26",11204
"3","CAP, BEP","Vous n'avez pas voté",12.2952893713804,1824.09997553001,1688,"2024-07-26",11204
"4","CAP, BEP","Vous avez voté",87.7047106286196,1824.09997553001,1688,"2024-07-26",11204
"5","Baccalauréat","Vous n'avez pas voté",13.0484740956947,2333.08062732534,2165,"2024-07-26",11204
"6","Baccalauréat","Vous avez voté",86.9515259043054,2333.08062732534,2165,"2024-07-26",11204
"7","Bac +2","Vous n'avez pas voté",12.8209162209516,2103.14908801505,2196,"2024-07-26",11204
"8","Bac +2","Vous avez voté",87.1790837790484,2103.14908801505,2196,"2024-07-26",11204
"9","Bac +3 et plus","Vous n'avez pas voté",11.2256645846615,3070.3718151991,3304,"2024-07-26",11204
"10","Bac +3 et plus","Vous avez voté",88.7743354153385,3070.3718151991,3304,"2024-07-26",11204
