"","Y7PCSIST","Y7PARTL24BST","pct","n","unweighted_n","VAGUE","TAILLEECH"
"1","Agriculteur exploitant, artisan, commerçant, chef d entreprise","Vous n'avez pas voté",16.8793625370067,423.207863097274,272,"2024-07-26",11204
"2","Agriculteur exploitant, artisan, commerçant, chef d entreprise","Vous avez voté",83.1206374629933,423.207863097274,272,"2024-07-26",11204
"3","Cadre supérieur","Vous n'avez pas voté",11.0192603980906,1008.15005633878,1414,"2024-07-26",11204
"4","Cadre supérieur","Vous avez voté",88.9807396019094,1008.15005633878,1414,"2024-07-26",11204
"5","Profession intermédiaire","Vous n'avez pas voté",12.2189095277399,1557.17007615159,1366,"2024-07-26",11204
"6","Profession intermédiaire","Vous avez voté",87.7810904722601,1557.17007615159,1366,"2024-07-26",11204
"7","Employé","Vous n'avez pas voté",14.7878131971483,1614.8771346674,1584,"2024-07-26",11204
"8","Employé","Vous avez voté",85.2121868028517,1614.8771346674,1584,"2024-07-26",11204
"9","Ouvrier","Vous n'avez pas voté",17.3082651589209,1162.29394059479,861,"2024-07-26",11204
"10","Ouvrier","Vous avez voté",82.6917348410792,1162.29394059479,861,"2024-07-26",11204
"11","Retraité, inactif","Vous n'avez pas voté",9.90231036646126,3935.9877477553,4183,"2024-07-26",11204
"12","Retraité, inactif","Vous avez voté",90.0976896335387,3935.9877477553,4183,"2024-07-26",11204
