"","Y7AGGLO5ST","Y7PL13ST","pct","n","unweighted_n","VAGUE","TAILLEECH"
"1","Zone rurale (moins de 2 000 habitants)","Des conséquences négatives",11.2066201141121,2486.1049383145,2239,"2024-07-26",11204
"2","Zone rurale (moins de 2 000 habitants)","Des conséquences positives",66.9540418034676,2486.1049383145,2239,"2024-07-26",11204
"3","Zone rurale (moins de 2 000 habitants)","Des conséquences ni positives, ni négatives",21.8393380824204,2486.1049383145,2239,"2024-07-26",11204
"4","Zone urbaine de 2 000 à 9 999 habitants","Des conséquences négatives",10.4525321915416,1536.50859249387,1368,"2024-07-26",11204
"5","Zone urbaine de 2 000 à 9 999 habitants","Des conséquences positives",67.9709206785656,1536.50859249387,1368,"2024-07-26",11204
"6","Zone urbaine de 2 000 à 9 999 habitants","Des conséquences ni positives, ni négatives",21.5765471298928,1536.50859249387,1368,"2024-07-26",11204
"7","Zone urbaine de 10 000 à 49 999 habitants","Des conséquences négatives",9.58878438849593,1286.2181079339,1295,"2024-07-26",11204
"8","Zone urbaine de 10 000 à 49 999 habitants","Des conséquences positives",68.2851974953296,1286.2181079339,1295,"2024-07-26",11204
"9","Zone urbaine de 10 000 à 49 999 habitants","Des conséquences ni positives, ni négatives",22.1260181161745,1286.2181079339,1295,"2024-07-26",11204
"10","Zone urbaine de 50 000 à 199 999 habitants","Des conséquences négatives",12.312218927875,1348.96131496246,1560,"2024-07-26",11204
"11","Zone urbaine de 50 000 à 199 999 habitants","Des conséquences positives",68.0272715531617,1348.96131496246,1560,"2024-07-26",11204
"12","Zone urbaine de 50 000 à 199 999 habitants","Des conséquences ni positives, ni négatives",19.6605095189633,1348.96131496246,1560,"2024-07-26",11204
"13","Zone urbaine de 200 000 habitants et plus","Des conséquences négatives",13.8049308698086,4541.48335441914,4739,"2024-07-26",11204
"14","Zone urbaine de 200 000 habitants et plus","Des conséquences positives",66.2220635524771,4541.48335441914,4739,"2024-07-26",11204
"15","Zone urbaine de 200 000 habitants et plus","Des conséquences ni positives, ni négatives",19.9730055777143,4541.48335441914,4739,"2024-07-26",11204
