"","Y7EDUST","Y7PL13ST","pct","n","unweighted_n","VAGUE","TAILLEECH"
"1","Aucun diplôme","Des conséquences négatives",9.78033998690537,416.435741483539,371,"2024-07-26",11204
"2","Aucun diplôme","Des conséquences positives",64.3881182386078,416.435741483539,371,"2024-07-26",11204
"3","Aucun diplôme","Des conséquences ni positives, ni négatives",25.8315417744869,416.435741483539,371,"2024-07-26",11204
"4","CAP, BEP","Des conséquences négatives",10.6497983294673,2058.72753384448,1928,"2024-07-26",11204
"5","CAP, BEP","Des conséquences positives",69.6284706060525,2058.72753384448,1928,"2024-07-26",11204
"6","CAP, BEP","Des conséquences ni positives, ni négatives",19.7217310644802,2058.72753384448,1928,"2024-07-26",11204
"7","Baccalauréat","Des conséquences négatives",11.4723022592486,2726.87094317154,2524,"2024-07-26",11204
"8","Baccalauréat","Des conséquences positives",66.1159610083314,2726.87094317154,2524,"2024-07-26",11204
"9","Baccalauréat","Des conséquences ni positives, ni négatives",22.4117367324201,2726.87094317154,2524,"2024-07-26",11204
"10","Bac +2","Des conséquences négatives",12.3955971338427,2367.68025559796,2483,"2024-07-26",11204
"11","Bac +2","Des conséquences positives",67.8320857920382,2367.68025559796,2483,"2024-07-26",11204
"12","Bac +2","Des conséquences ni positives, ni négatives",19.7723170741191,2367.68025559796,2483,"2024-07-26",11204
"13","Bac +3 et plus","Des conséquences négatives",13.4803774714208,3629.56183402636,3895,"2024-07-26",11204
"14","Bac +3 et plus","Des conséquences positives",66.1735373648584,3629.56183402636,3895,"2024-07-26",11204
"15","Bac +3 et plus","Des conséquences ni positives, ni négatives",20.3460851637208,3629.56183402636,3895,"2024-07-26",11204
