"","Y7INTPOLST","Y7PL13ST","pct","n","unweighted_n","VAGUE","TAILLEECH"
"1","Beaucoup","Des conséquences négatives",13.9920924247715,3281.26426469136,3496,"2024-07-26",11204
"2","Beaucoup","Des conséquences positives",71.2739924551147,3281.26426469136,3496,"2024-07-26",11204
"3","Beaucoup","Des conséquences ni positives, ni négatives",14.7339151201138,3281.26426469136,3496,"2024-07-26",11204
"4","Un peu","Des conséquences négatives",12.8705117938085,5089.55257807657,5088,"2024-07-26",11204
"5","Un peu","Des conséquences positives",66.859929062844,5089.55257807657,5088,"2024-07-26",11204
"6","Un peu","Des conséquences ni positives, ni négatives",20.2695591433475,5089.55257807657,5088,"2024-07-26",11204
"7","Pas vraiment","Des conséquences négatives",9.26902684977344,2026.93113744461,1895,"2024-07-26",11204
"8","Pas vraiment","Des conséquences positives",64.209185099042,2026.93113744461,1895,"2024-07-26",11204
"9","Pas vraiment","Des conséquences ni positives, ni négatives",26.5217880511846,2026.93113744461,1895,"2024-07-26",11204
"10","Pas du tout","Des conséquences négatives",6.69008137460412,800.214415565335,721,"2024-07-26",11204
"11","Pas du tout","Des conséquences positives",58.4842945217255,800.214415565335,721,"2024-07-26",11204
"12","Pas du tout","Des conséquences ni positives, ni négatives",34.8256241036704,800.214415565335,721,"2024-07-26",11204
