"","Y7PCSIST","Y7PL13ST","pct","n","unweighted_n","VAGUE","TAILLEECH"
"1","Agriculteur exploitant, artisan, commerçant, chef d entreprise","Des conséquences négatives",17.6547142734233,514.219889154555,327,"2024-07-26",11204
"2","Agriculteur exploitant, artisan, commerçant, chef d entreprise","Des conséquences positives",63.367389885088,514.219889154555,327,"2024-07-26",11204
"3","Agriculteur exploitant, artisan, commerçant, chef d entreprise","Des conséquences ni positives, ni négatives",18.9778958414887,514.219889154555,327,"2024-07-26",11204
"4","Cadre supérieur","Des conséquences négatives",15.2532334001536,1206.74578798005,1686,"2024-07-26",11204
"5","Cadre supérieur","Des conséquences positives",67.1409540006479,1206.74578798005,1686,"2024-07-26",11204
"6","Cadre supérieur","Des conséquences ni positives, ni négatives",17.6058125991985,1206.74578798005,1686,"2024-07-26",11204
"7","Profession intermédiaire","Des conséquences négatives",10.8359555723613,1766.97208674363,1553,"2024-07-26",11204
"8","Profession intermédiaire","Des conséquences positives",66.8469043725608,1766.97208674363,1553,"2024-07-26",11204
"9","Profession intermédiaire","Des conséquences ni positives, ni négatives",22.3171400550779,1766.97208674363,1553,"2024-07-26",11204
"10","Employé","Des conséquences négatives",13.8769758639391,1868.9437374952,1831,"2024-07-26",11204
"11","Employé","Des conséquences positives",63.1840328147987,1868.9437374952,1831,"2024-07-26",11204
"12","Employé","Des conséquences ni positives, ni négatives",22.9389913212622,1868.9437374952,1831,"2024-07-26",11204
"13","Ouvrier","Des conséquences négatives",12.9880590784025,1334.46893188754,996,"2024-07-26",11204
"14","Ouvrier","Des conséquences positives",62.2754657266636,1334.46893188754,996,"2024-07-26",11204
"15","Ouvrier","Des conséquences ni positives, ni négatives",24.7364751949339,1334.46893188754,996,"2024-07-26",11204
"16","Retraité, inactif","Des conséquences négatives",10.1285201745557,4507.92587486291,4808,"2024-07-26",11204
"17","Retraité, inactif","Des conséquences positives",70.6132652953435,4507.92587486291,4808,"2024-07-26",11204
"18","Retraité, inactif","Des conséquences ni positives, ni négatives",19.2582145301007,4507.92587486291,4808,"2024-07-26",11204
