"","Y7PROXST","Y7PL15ST","pct","n","unweighted_n","VAGUE","TAILLEECH"
"1","Très à gauche (Lutte Ouvrière, Nouveau Parti Anticapitaliste, Parti Communiste Français, France Insoumise)","Confiance",56.5064054560525,1244.62739021461,1010,"2024-07-26",11204
"2","Très à gauche (Lutte Ouvrière, Nouveau Parti Anticapitaliste, Parti Communiste Français, France Insoumise)","Pas confiance",43.4935945439476,1244.62739021461,1010,"2024-07-26",11204
"3","Gauche (Parti Socialiste, Europe Ecologie - Les Verts)","Confiance",45.4853155756733,1693.4898924698,1880,"2024-07-26",11204
"4","Gauche (Parti Socialiste, Europe Ecologie - Les Verts)","Pas confiance",54.5146844243267,1693.4898924698,1880,"2024-07-26",11204
"5","Centre (Renaissance, Le MoDem (Mouvement Démocrate), Horizons, L’UDI (Union des Démocrates et Indépendants))","Confiance",30.5093031550893,1529.79064715371,1667,"2024-07-26",11204
"6","Centre (Renaissance, Le MoDem (Mouvement Démocrate), Horizons, L’UDI (Union des Démocrates et Indépendants))","Pas confiance",69.4906968449106,1529.79064715371,1667,"2024-07-26",11204
"7","Droite (Les Républicains)","Confiance",15.6213113214388,769.550724279786,904,"2024-07-26",11204
"8","Droite (Les Républicains)","Pas confiance",84.3786886785612,769.550724279786,904,"2024-07-26",11204
"9","Très à droite (Debout la France, Rassemblement national (ex Front National), Reconquête!)","Confiance",9.25505661126191,2786.02103028976,2663,"2024-07-26",11204
"10","Très à droite (Debout la France, Rassemblement national (ex Front National), Reconquête!)","Pas confiance",90.7449433887381,2786.02103028976,2663,"2024-07-26",11204
"11","Autre parti ou aucun parti","Confiance",21.6481003257119,3172.23364889044,3074,"2024-07-26",11204
"12","Autre parti ou aucun parti","Pas confiance",78.3518996742881,3172.23364889044,3074,"2024-07-26",11204
