"","Y7REG13ST","Y7PL15ST","pct","n","unweighted_n","VAGUE","TAILLEECH"
"1","Ile de France","Confiance",31.4369803395926,1891.06001692359,1882,"2024-07-26",11204
"2","Ile de France","Pas confiance",68.5630196604074,1891.06001692359,1882,"2024-07-26",11204
"3","Nord et Est (Hauts de France, Grand Est et Bourgogne Franche Comté)","Confiance",25.2033984184085,2508.10022931804,2536,"2024-07-26",11204
"4","Nord et Est (Hauts de France, Grand Est et Bourgogne Franche Comté)","Pas confiance",74.7966015815915,2508.10022931804,2536,"2024-07-26",11204
"5","Ouest (Normandie, Bretagne, Pays de la Loire et Centre Val de Loire)","Confiance",26.1823673787488,2331.55764634939,2395,"2024-07-26",11204
"6","Ouest (Normandie, Bretagne, Pays de la Loire et Centre Val de Loire)","Pas confiance",73.8176326212512,2331.55764634939,2395,"2024-07-26",11204
"7","Sud ouest (Nouvelle Aquitaine et Occitanie)","Confiance",26.6187712222133,2139.88852667564,2149,"2024-07-26",11204
"8","Sud ouest (Nouvelle Aquitaine et Occitanie)","Pas confiance",73.3812287777867,2139.88852667564,2149,"2024-07-26",11204
"9","Sud est (Auvergne Rhône Alpes, Provence Alpes Côte d'Azur et Corse)","Confiance",25.7976065182202,2327.00397361619,2237,"2024-07-26",11204
"10","Sud est (Auvergne Rhône Alpes, Provence Alpes Côte d'Azur et Corse)","Pas confiance",74.2023934817798,2327.00397361619,2237,"2024-07-26",11204
