"","Y7ECO2ST2","Y7PL16ST","pct","n","unweighted_n","VAGUE","TAILLEECH"
"1","Moins de 1 250 euros","Favorable",59.9192946755599,969.204111232622,807,"2024-07-26",11204
"2","Moins de 1 250 euros","Pas favorable",40.0807053244401,969.204111232622,807,"2024-07-26",11204
"3","De 1 250 euros à 1 999 euros","Favorable",57.7291206260366,2128.4643512393,1926,"2024-07-26",11204
"4","De 1 250 euros à 1 999 euros","Pas favorable",42.2708793739634,2128.4643512393,1926,"2024-07-26",11204
"5","De 2 000 à 3 499 euros","Favorable",50.652955216469,4083.52517813961,4069,"2024-07-26",11204
"6","De 2 000 à 3 499 euros","Pas favorable",49.3470447835311,4083.52517813961,4069,"2024-07-26",11204
"7","De 3 500 à 4 999 euros","Favorable",46.495746123364,2173.94856552127,2358,"2024-07-26",11204
"8","De 3 500 à 4 999 euros","Pas favorable",53.504253876636,2173.94856552127,2358,"2024-07-26",11204
"9","5 000 euros et plus","Favorable",42.6433023569453,929.359109049184,1120,"2024-07-26",11204
"10","5 000 euros et plus","Pas favorable",57.3566976430547,929.359109049184,1120,"2024-07-26",11204
