"","Y7AGERST","Y7PL4ST","pct","n","unweighted_n","VAGUE","TAILLEECH"
"1","18 à 24 ans","Sentiment positif (joie, espoir ou soulagement)",43.9359769393442,1241.30543925657,671,"2024-07-26",11204
"2","18 à 24 ans","Indifférence",12.6525078437649,1241.30543925657,671,"2024-07-26",11204
"3","18 à 24 ans","Sentiment négatif (déception, colère ou peur)",43.411515216891,1241.30543925657,671,"2024-07-26",11204
"4","25 à 34 ans","Sentiment positif (joie, espoir ou soulagement)",38.9317135313243,1642.39037377673,1370,"2024-07-26",11204
"5","25 à 34 ans","Indifférence",16.4968710555944,1642.39037377673,1370,"2024-07-26",11204
"6","25 à 34 ans","Sentiment négatif (déception, colère ou peur)",44.5714154130813,1642.39037377673,1370,"2024-07-26",11204
"7","35 à 49 ans","Sentiment positif (joie, espoir ou soulagement)",29.699554396162,2517.36953975728,2360,"2024-07-26",11204
"8","35 à 49 ans","Indifférence",14.3820851460896,2517.36953975728,2360,"2024-07-26",11204
"9","35 à 49 ans","Sentiment négatif (déception, colère ou peur)",55.9183604577483,2517.36953975728,2360,"2024-07-26",11204
"10","50 à 59 ans","Sentiment positif (joie, espoir ou soulagement)",25.3700111326465,1845.19217397194,1978,"2024-07-26",11204
"11","50 à 59 ans","Indifférence",13.266821347019,1845.19217397194,1978,"2024-07-26",11204
"12","50 à 59 ans","Sentiment négatif (déception, colère ou peur)",61.3631675203345,1845.19217397194,1978,"2024-07-26",11204
"13","60 ans et plus","Sentiment positif (joie, espoir ou soulagement)",29.7608715280157,3957.74247323746,4825,"2024-07-26",11204
"14","60 ans et plus","Indifférence",8.14314104462278,3957.74247323746,4825,"2024-07-26",11204
"15","60 ans et plus","Sentiment négatif (déception, colère ou peur)",62.0959874273615,3957.74247323746,4825,"2024-07-26",11204
