"","Y7Q7ST","Y7PL5ST","pct","n","unweighted_n","VAGUE","TAILLEECH"
"1","Très à gauche","L’appel au Front Républicain exprime l’inquiétude de ceux qui pensent que le Rassemblement National est une menace pour la démocratie",75.111924088742,622.495000716022,531,"2024-07-26",11204
"2","Très à gauche","Le Front Républicain est une tactique permettant aux partis traditionnels de conserver le pouvoir",24.888075911258,622.495000716022,531,"2024-07-26",11204
"3","Plutôt à gauche","L’appel au Front Républicain exprime l’inquiétude de ceux qui pensent que le Rassemblement National est une menace pour la démocratie",76.2542523339781,2605.23597456279,2715,"2024-07-26",11204
"4","Plutôt à gauche","Le Front Républicain est une tactique permettant aux partis traditionnels de conserver le pouvoir",23.7457476660219,2605.23597456279,2715,"2024-07-26",11204
"5","Au centre","L’appel au Front Républicain exprime l’inquiétude de ceux qui pensent que le Rassemblement National est une menace pour la démocratie",56.3585445578261,1825.50256837477,1797,"2024-07-26",11204
"6","Au centre","Le Front Républicain est une tactique permettant aux partis traditionnels de conserver le pouvoir",43.6414554421739,1825.50256837477,1797,"2024-07-26",11204
"7","Plutôt à droite","L’appel au Front Républicain exprime l’inquiétude de ceux qui pensent que le Rassemblement National est une menace pour la démocratie",45.2228810163426,3567.95229763892,3748,"2024-07-26",11204
"8","Plutôt à droite","Le Front Républicain est une tactique permettant aux partis traditionnels de conserver le pouvoir",54.7771189836574,3567.95229763892,3748,"2024-07-26",11204
"9","Très à droite","L’appel au Front Républicain exprime l’inquiétude de ceux qui pensent que le Rassemblement National est une menace pour la démocratie",32.869700412115,1445.63781967302,1364,"2024-07-26",11204
"10","Très à droite","Le Front Républicain est une tactique permettant aux partis traditionnels de conserver le pouvoir",67.130299587885,1445.63781967302,1364,"2024-07-26",11204
