"","Y7Q7ST","Y7PL6ST","pct","n","unweighted_n","VAGUE","TAILLEECH"
"1","Très à gauche","Souvent",42.3525895388872,622.495000716022,531,"2024-07-26",11204
"2","Très à gauche","Rarement ou jamais",57.6474104611128,622.495000716022,531,"2024-07-26",11204
"3","Plutôt à gauche","Souvent",28.3412104634374,2605.23597456279,2715,"2024-07-26",11204
"4","Plutôt à gauche","Rarement ou jamais",71.6587895365626,2605.23597456279,2715,"2024-07-26",11204
"5","Au centre","Souvent",20.2004866169339,1825.50256837477,1797,"2024-07-26",11204
"6","Au centre","Rarement ou jamais",79.7995133830661,1825.50256837477,1797,"2024-07-26",11204
"7","Plutôt à droite","Souvent",26.2299476459838,3567.95229763892,3748,"2024-07-26",11204
"8","Plutôt à droite","Rarement ou jamais",73.7700523540162,3567.95229763892,3748,"2024-07-26",11204
"9","Très à droite","Souvent",28.4622323184027,1445.63781967302,1364,"2024-07-26",11204
"10","Très à droite","Rarement ou jamais",71.5377676815973,1445.63781967302,1364,"2024-07-26",11204
