"","Y7REL1ST","Y7PL6ST","pct","n","unweighted_n","VAGUE","TAILLEECH"
"1","Catholique","Souvent",22.7881972944768,5433.52628385584,5712,"2024-07-26",11204
"2","Catholique","Rarement ou jamais",77.2118027055232,5433.52628385584,5712,"2024-07-26",11204
"3","Juive","Souvent",45.1062455680567,73.6740140695289,76,"2024-07-26",11204
"4","Juive","Rarement ou jamais",54.8937544319433,73.6740140695289,76,"2024-07-26",11204
"5","Musulmane","Souvent",42.3465069681638,300.303699963467,227,"2024-07-26",11204
"6","Musulmane","Rarement ou jamais",57.6534930318362,300.303699963467,227,"2024-07-26",11204
"7","Autre religion (protestante, boudhiste ou autre)","Souvent",35.5478783368646,473.930893404386,431,"2024-07-26",11204
"8","Autre religion (protestante, boudhiste ou autre)","Rarement ou jamais",64.4521216631354,473.930893404386,431,"2024-07-26",11204
"9","Sans religion","Souvent",26.3041515813794,4792.71198847587,4658,"2024-07-26",11204
"10","Sans religion","Rarement ou jamais",73.6958484186206,4792.71198847587,4658,"2024-07-26",11204
