"","Indicateurs","pct","VAGUE","TAILLEECH"
"1","Intérêt pour l'élection",45.6,"2023-06-16",10600
"2","Intérêt pour l'élection",46.1,"2023-11-29",11691
"3","Intérêt pour l'élection",56.1,"2024-03-01",11770
"4","Intérêt pour l'élection",56.9,"2024-04-19",10651
"5","Intérêt pour l'élection",61.9,"2024-05-27",11430
"6","Certitude d'aller voter",46.4,"2023-06-16",10600
"7","Certitude d'aller voter",43.4,"2023-11-29",11691
"8","Certitude d'aller voter",56.3,"2024-03-01",11770
"9","Certitude d'aller voter",57.7,"2024-04-19",10651
"10","Certitude d'aller voter",61.1,"2024-05-27",11430
